tipo_celular,module_size,VKORC1L1_MM,VKORC1L1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,172,0.109,16.0,140,0,0.0,NA,140,100.0,4.51 (4.08-4.93)
T cells 18,727,0.098,16.0,49,1,2.04,2.53 (NA-NA),48,97.96,2.43 (2.02-2.83)
astrocytes 5,1656,0.076,4.0,136,6,4.41,3.46 (2.87-4.06),130,95.59,3.19 (2.91-3.48)
oligodendrocyte progenitor cells 7,4285,0.151,74.0,353,20,5.67,1.48 (1.00-1.96),333,94.33,4.08 (3.90-4.26)
GABA neurons expressing GLU receptors 22,703,0.318,97.0,23,1,4.35,2.53 (NA-NA),22,95.65,2.07 (1.33-2.82)
GLU like neurons 17,229,0.186,40.0,22,0,0.0,NA,22,100.0,2.52 (1.91-3.13)
da like neurons 11,109,0.237,61.0,1,0,0.0,NA,1,100.0,1.71 (NA-NA)
GABA neurons expressing GABA receptors 13,266,0.074,2.0,118,0,0.0,NA,118,100.0,4.74 (4.38-5.09)
endothelial cells 9,1653,0.07,7.0,297,2,0.67,3.12 (1.95-4.29),295,99.33,3.68 (3.47-3.88)
oligodendrocytes 20,403,0.095,40.0,18,8,44.44,0.89 (0.40-1.37),10,55.56,2.67 (1.77-3.57)
GABA like neurons 14,3052,0.169,74.0,125,1,0.8,3.00 (NA-NA),124,99.2,3.36 (3.03-3.68)
astrocytes 8,283,0.132,46.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303,0.092,66.0,276,12,4.35,2.04 (1.47-2.62),264,95.65,3.63 (3.41-3.85)
oligodendrocytes 10,735,0.087,43.0,277,2,0.72,3.95 (2.92-4.98),275,99.28,3.89 (3.65-4.14)
connective tissue cells 21,91,0.395,92.0,4,0,0.0,NA,4,100.0,0.35 (0.26-0.44)
astrocytes 15,261,0.174,64.0,8,2,25.0,0.32 (0.20-0.45),6,75.0,5.02 (3.40-6.64)
oligodendrocytes 16,123,0.153,12.0,4,0,0.0,NA,4,100.0,2.02 (0.43-3.61)
da neurons 6,553,0.111,36.0,124,2,1.61,1.70 (-0.84-4.24),122,98.39,4.24 (3.85-4.63)
astrocytes microglia 23,51,0.337,70.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807,0.133,28.0,104,17,16.35,2.25 (1.61-2.89),87,83.65,2.99 (2.69-3.30)
oligodendrocytes 0,2078,0.115,51.0,238,4,1.68,2.22 (0.88-3.55),234,98.32,3.66 (3.44-3.89)
microglia 1,813,0.124,60.0,79,7,8.86,3.26 (2.60-3.91),72,91.14,3.08 (2.64-3.53)
oligodendrocytes 3,1003,0.07,21.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,921,0.119,22.0,200,4,2.0,2.19 (1.74-2.63),196,98.0,3.66 (3.39-3.93)
