tipo_celular,module_size,TCERG1_MM,TCERG1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,211.0,0.22,80.0,47,0,0.0,NA,47,100.0,2.59 (2.10-3.08)
T cells 18,624.0,0.179,71.0,142,2,1.41,4.27 (NA-NA),140,98.59,3.20 (2.93-3.47)
astrocytes 5,1141.0,0.129,46.0,166,44,26.51,2.47 (2.12-2.81),122,73.49,3.79 (3.49-4.08)
oligodendrocyte progenitor cells 7,4285.0,0.158,83.0,353,71,20.11,2.47 (2.18-2.77),282,79.89,4.34 (4.15-4.53)
GABA neurons expressing GLU receptors 22,1069.0,0.191,69.0,37,6,16.22,2.36 (1.87-2.85),31,83.78,2.11 (1.56-2.66)
GLU like neurons 17,489.0,0.096,21.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55)
da like neurons 11,108.0,0.148,29.0,5,1,20.0,5.16 (NA-NA),4,80.0,3.78 (3.78-3.78)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.142,62.0,297,6,2.02,4.82 (4.43-5.21),291,97.98,3.65 (3.45-3.86)
oligodendrocytes 20,295.0,0.269,78.0,28,11,39.29,3.04 (2.44-3.64),17,60.71,1.66 (1.16-2.16)
GABA like neurons 14,2090.0,0.107,18.0,74,18,24.32,2.51 (2.04-2.98),56,75.68,3.07 (2.61-3.54)
astrocytes 8,727.0,0.129,64.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,3303.0,0.071,39.0,276,55,19.93,2.38 (2.09-2.67),221,80.07,3.91 (3.67-4.16)
oligodendrocytes 10,2107.0,0.241,80.0,358,86,24.02,2.52 (2.24-2.81),272,75.98,4.42 (4.22-4.62)
connective tissue cells 21,126.0,0.268,44.0,7,3,42.86,1.36 (0.78-1.94),4,57.14,1.65 (-0.44-3.74)
astrocytes 15,1768.0,0.136,87.0,105,27,25.71,2.15 (1.69-2.62),78,74.29,3.58 (3.19-3.97)
oligodendrocytes 16,61.0,0.182,40.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,518.0,0.098,36.0,122,8,6.56,1.43 (0.44-2.43),114,93.44,4.20 (3.81-4.58)
astrocytes microglia 23,96.0,0.26,16.0,3,0,0.0,NA,3,100.0,1.95 (-1.12-5.03)
astrocytes 4,787.0,0.167,78.0,65,1,1.54,NA,64,98.46,2.96 (2.57-3.36)
oligodendrocytes 0,1186.0,0.127,24.0,300,13,4.33,3.60 (3.21-3.99),287,95.67,3.80 (3.59-4.02)
microglia 1,813.0,0.134,69.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50)
oligodendrocytes 3,357.0,0.084,42.0,127,3,2.36,2.91 (2.74-3.08),124,97.64,3.12 (2.79-3.46)
oligodendrocytes 2,804.0,0.129,22.0,84,3,3.57,0.51 (-0.09-1.11),81,96.43,2.76 (2.42-3.09)
