tipo_celular,module_size,NDUFAF2_MM,NDUFAF2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395.0,0.163,54.0,97,1,1.03,5.16 (NA-NA),96,98.97,3.03 (2.63-3.42)
T cells 18,477.0,0.16,49.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,1656.0,0.101,28.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48)
oligodendrocyte progenitor cells 7,4285.0,0.134,48.0,353,17,4.82,1.35 (0.91-1.78),336,95.18,4.06 (3.88-4.24)
GABA neurons expressing GLU receptors 22,567.0,0.299,81.0,16,2,12.5,2.09 (1.81-2.36),14,87.5,1.95 (1.17-2.74)
GLU like neurons 17,489.0,0.148,57.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55)
da like neurons 11,137.0,0.368,82.0,2,0,0.0,NA,2,100.0,5.16 (NA-NA)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.075,10.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,233.0,0.136,22.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37)
GABA like neurons 14,2402.0,0.16,28.0,455,25,5.49,2.59 (1.81-3.38),430,94.51,4.48 (4.30-4.66)
astrocytes 8,727.0,0.102,46.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,3303.0,0.082,54.0,276,6,2.17,2.03 (1.34-2.71),270,97.83,3.59 (3.37-3.81)
oligodendrocytes 10,2107.0,0.167,57.0,358,13,3.63,1.10 (0.62-1.58),345,96.37,4.00 (3.82-4.19)
connective tissue cells 21,111.0,0.168,0.0,1,0,0.0,NA,1,100.0,0.40 (NA-NA)
astrocytes 15,1768.0,0.132,84.0,105,7,6.67,1.39 (0.87-1.91),98,93.33,3.35 (3.01-3.70)
oligodendrocytes 16,66.0,0.231,54.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,729.0,0.137,41.0,182,6,3.3,5.04 (3.30-6.78),176,96.7,3.59 (3.34-3.84)
astrocytes microglia 23,125.0,0.323,54.0,6,0,0.0,NA,6,100.0,2.99 (2.22-3.77)
astrocytes 4,1807.0,0.122,14.0,104,4,3.85,0.81 (0.05-1.57),100,96.15,2.95 (2.67-3.23)
oligodendrocytes 0,2078.0,0.103,27.0,238,2,0.84,1.22 (-0.77-3.20),236,99.16,3.66 (3.44-3.88)
microglia 1,813.0,0.159,82.0,79,1,1.27,1.74 (NA-NA),78,98.73,3.12 (2.71-3.53)
oligodendrocytes 3,854.0,0.098,59.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14)
oligodendrocytes 2,921.0,0.127,33.0,200,5,2.5,2.85 (2.25-3.45),195,97.5,3.65 (3.37-3.92)
