tipo_celular,module_size,CASD1_MM,CASD1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500,0.107,13.0,32,1,3.12,2.24 (NA-NA),31,96.88,3.78 (2.98-4.58)
T cells 18,727,0.145,52.0,49,2,4.08,3.04 (2.03-4.05),47,95.92,2.40 (1.99-2.81)
astrocytes 5,1141,0.137,60.0,166,7,4.22,1.61 (0.66-2.56),159,95.78,3.49 (3.24-3.74)
oligodendrocyte progenitor cells 7,4285,0.159,84.0,353,18,5.1,1.81 (1.14-2.47),335,94.9,4.04 (3.85-4.22)
GABA neurons expressing GLU receptors 22,1069,0.257,95.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,1316,0.112,40.0,101,1,0.99,2.53 (NA-NA),100,99.01,3.06 (2.70-3.41)
da like neurons 11,109,0.189,38.0,1,0,0.0,NA,1,100.0,1.71 (NA-NA)
GABA neurons expressing GABA receptors 13,265,0.14,40.0,78,2,2.56,3.09 (2.64-3.53),76,97.44,4.40 (3.98-4.83)
endothelial cells 9,1653,0.12,44.0,297,2,0.67,3.04 (2.03-4.05),295,99.33,3.68 (3.47-3.88)
oligodendrocytes 20,330,0.234,71.0,36,0,0.0,NA,36,100.0,1.92 (1.57-2.27)
GABA like neurons 14,2402,0.245,54.0,455,12,2.64,1.35 (0.62-2.09),443,97.36,4.45 (4.27-4.64)
astrocytes 8,283,0.136,49.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303,0.134,96.0,276,6,2.17,2.32 (1.29-3.34),270,97.83,3.58 (3.36-3.80)
oligodendrocytes 10,735,0.063,23.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14)
connective tissue cells 21,69,0.155,0.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,1768,0.089,52.0,105,7,6.67,1.59 (0.89-2.30),98,93.33,3.34 (2.99-3.68)
oligodendrocytes 16,64,0.223,72.0,1,0,0.0,NA,1,100.0,2.12 (NA-NA)
da neurons 6,448,0.107,57.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80)
astrocytes microglia 23,118,0.262,14.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,787,0.174,88.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,1186,0.15,59.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00)
microglia 1,1615,0.132,78.0,161,13,8.07,1.32 (0.65-1.98),148,91.93,3.49 (3.22-3.75)
oligodendrocytes 3,1003,0.095,50.0,111,2,1.8,3.81 (3.31-4.31),109,98.2,3.29 (2.94-3.64)
oligodendrocytes 2,804,0.119,13.0,84,6,7.14,1.79 (0.74-2.84),78,92.86,2.78 (2.43-3.12)
