tipo_celular,module_size,NCAM2_MM,NCAM2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,349.0,0.684,99.0,68,2,2.94,2.53 (2.34-2.73),66,97.06,4.44 (3.88-5.01)
astrocytes 5,165.0,0.106,8.0,51,0,0.0,NA,51,100.0,5.35 (4.68-6.01)
oligodendrocyte progenitor cells 7,436.0,0.063,10.0,219,3,1.37,5.85 (3.45-8.25),216,98.63,5.20 (4.91-5.49)
GABA neurons expressing GLU receptors 22,567.0,0.161,37.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70)
GLU like neurons 17,637.0,0.368,90.0,91,7,7.69,0.61 (0.16-1.06),84,92.31,4.99 (4.54-5.45)
da like neurons 11,408.0,0.484,90.0,25,3,12.0,1.72 (0.18-3.26),22,88.0,5.12 (3.73-6.52)
GABA neurons expressing GABA receptors 13,288.0,0.183,57.0,93,3,3.23,3.15 (1.93-4.37),90,96.77,5.23 (4.73-5.74)
endothelial cells 9,450.0,0.732,99.0,74,1,1.35,8.28 (NA-NA),73,98.65,5.41 (4.85-5.96)
oligodendrocytes 20,676.0,0.218,45.0,110,2,1.82,4.39 (NA-NA),108,98.18,5.00 (4.55-5.45)
GABA like neurons 14,1300.0,0.172,33.0,306,8,2.61,3.26 (1.50-5.02),298,97.39,5.17 (4.91-5.43)
astrocytes 8,771.0,0.277,78.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18)
oligodendrocyte progenitor cells 12,708.0,0.124,56.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99)
oligodendrocytes 10,204.0,0.53,84.0,92,4,4.35,3.58 (2.38-4.79),88,95.65,5.86 (5.39-6.34)
connective tissue cells 21,250.0,0.656,91.0,117,6,5.13,3.98 (1.99-5.97),111,94.87,5.48 (5.08-5.87)
astrocytes 15,1768.0,0.085,48.0,105,8,7.62,1.54 (0.88-2.20),97,92.38,3.34 (3.00-3.69)
oligodendrocytes 16,287.0,0.087,1.0,105,2,1.9,2.53 (2.34-2.73),103,98.1,5.15 (4.70-5.60)
da neurons 6,398.0,0.503,97.0,138,7,5.07,2.16 (0.78-3.55),131,94.93,4.97 (4.60-5.33)
astrocytes microglia 23,166.0,0.351,76.0,7,2,28.57,2.53 (2.34-2.73),5,71.43,5.03 (4.70-5.36)
astrocytes 4,220.0,0.133,28.0,63,0,0.0,NA,63,100.0,5.13 (4.57-5.69)
oligodendrocytes 0,1186.0,0.176,91.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,681.0,0.231,98.0,87,11,12.64,1.82 (1.15-2.50),76,87.36,2.69 (2.40-2.98)
oligodendrocytes 2,348.0,0.315,84.0,114,3,2.63,3.15 (1.93-4.37),111,97.37,5.19 (4.77-5.60)
