tipo_celular,module_size,ZFX_MM,ZFX_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,206.0,0.139,12.0,10,0,0.0,NA,10,100.0,1.83 (0.82-2.85)
T cells 18,624.0,0.13,30.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48)
astrocytes 5,1141.0,0.138,61.0,166,33,19.88,1.99 (1.69-2.29),133,80.12,3.82 (3.55-4.08)
oligodendrocyte progenitor cells 7,4285.0,0.167,92.0,353,49,13.88,1.94 (1.66-2.23),304,86.12,4.31 (4.13-4.48)
GABA neurons expressing GLU receptors 22,703.0,0.122,16.0,23,1,4.35,1.18 (NA-NA),22,95.65,2.13 (1.39-2.88)
GLU like neurons 17,1316.0,0.073,9.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40)
da like neurons 11,120.0,0.061,5.0,1,0,0.0,NA,1,100.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.119,43.0,297,1,0.34,2.04 (NA-NA),296,99.66,3.68 (3.48-3.88)
oligodendrocytes 20,295.0,0.061,11.0,28,6,21.43,2.37 (1.95-2.80),22,78.57,2.14 (1.55-2.72)
GABA like neurons 14,3052.0,0.154,63.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,727.0,0.064,21.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,3303.0,0.067,35.0,276,43,15.58,1.99 (1.77-2.21),233,84.42,3.93 (3.70-4.16)
oligodendrocytes 10,2107.0,0.158,55.0,358,60,16.76,1.95 (1.71-2.20),298,83.24,4.41 (4.23-4.59)
connective tissue cells 21,57.0,0.311,56.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,1768.0,0.04,7.0,105,14,13.33,1.33 (0.99-1.66),91,86.67,3.53 (3.19-3.87)
oligodendrocytes 16,51.0,0.199,24.0,1,0,0.0,NA,1,100.0,3.22 (NA-NA)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,111.0,0.226,2.0,2,0,0.0,NA,2,100.0,1.26 (-0.42-2.94)
astrocytes 4,787.0,0.16,66.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,2078.0,0.144,96.0,238,14,5.88,2.33 (1.92-2.74),224,94.12,3.73 (3.50-3.96)
microglia 1,958.0,0.126,72.0,290,7,2.41,1.38 (1.02-1.75),283,97.59,3.89 (3.66-4.12)
oligodendrocytes 3,1003.0,0.085,38.0,111,1,0.9,2.71 (NA-NA),110,99.1,3.31 (2.96-3.65)
oligodendrocytes 2,1630.0,0.109,6.0,154,2,1.3,3.56 (1.90-5.21),152,98.7,3.24 (2.97-3.51)
