tipo_celular,module_size,SMC3_MM,SMC3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,184.0,0.259,77.0,21,10,47.62,1.30 (0.67-1.93),11,52.38,3.30 (2.65-3.95)
T cells 18,518.0,0.157,53.0,131,3,2.29,3.52 (2.02-5.02),128,97.71,3.06 (2.78-3.34)
astrocytes 5,1656.0,0.12,58.0,136,3,2.21,2.65 (0.18-5.12),133,97.79,3.22 (2.95-3.49)
oligodendrocyte progenitor cells 7,4285.0,0.132,46.0,353,46,13.03,2.08 (1.70-2.46),307,86.97,4.25 (4.07-4.43)
GABA neurons expressing GLU receptors 22,487.0,0.124,14.0,73,3,4.11,1.56 (1.55-1.57),70,95.89,2.81 (2.42-3.21)
GLU like neurons 17,795.0,0.083,19.0,80,2,2.5,4.43 (4.17-4.69),78,97.5,5.73 (5.30-6.15)
da like neurons 11,172.0,0.184,37.0,8,0,0.0,NA,8,100.0,3.69 (3.52-3.86)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,385.0,0.11,56.0,275,38,13.82,2.14 (1.66-2.61),237,86.18,4.41 (4.15-4.66)
oligodendrocytes 20,358.0,0.21,75.0,31,0,0.0,NA,31,100.0,2.36 (1.93-2.79)
GABA like neurons 14,2402.0,0.083,5.0,455,25,5.49,1.83 (1.22-2.44),430,94.51,4.54 (4.36-4.72)
astrocytes 8,771.0,0.065,22.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27)
oligodendrocyte progenitor cells 12,3303.0,0.046,12.0,276,34,12.32,2.21 (1.81-2.61),242,87.68,3.80 (3.57-4.03)
oligodendrocytes 10,483.0,0.116,49.0,129,2,1.55,5.62 (4.72-6.52),127,98.45,3.38 (2.99-3.78)
connective tissue cells 21,142.0,0.404,93.0,55,3,5.45,0.48 (0.39-0.58),52,94.55,3.77 (2.93-4.61)
astrocytes 15,418.0,0.028,7.0,54,0,0.0,NA,54,100.0,3.68 (3.24-4.12)
oligodendrocytes 16,71.0,0.163,32.0,1,1,100.0,3.52 (NA-NA),0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,131.0,0.245,13.0,5,0,0.0,NA,5,100.0,0.46 (0.38-0.54)
astrocytes 4,1807.0,0.131,25.0,104,19,18.27,1.56 (1.15-1.97),85,81.73,3.18 (2.89-3.48)
oligodendrocytes 0,613.0,0.172,75.0,127,10,7.87,2.25 (1.67-2.82),117,92.13,3.15 (2.70-3.61)
microglia 1,1615.0,0.097,31.0,161,35,21.74,1.70 (1.35-2.05),126,78.26,3.82 (3.55-4.08)
oligodendrocytes 3,743.0,0.069,32.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,528.0,0.187,42.0,175,2,1.14,5.16 (NA-NA),173,98.86,4.37 (4.02-4.72)
