tipo_celular,module_size,SRRM1_MM,SRRM1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,360.0,0.124,21.0,102,21,20.59,2.00 (1.50-2.50),81,79.41,3.91 (3.52-4.31)
T cells 18,477.0,0.133,32.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,1141.0,0.095,10.0,166,30,18.07,2.01 (1.62-2.41),136,81.93,3.74 (3.48-4.01)
oligodendrocyte progenitor cells 7,4285.0,0.131,43.0,353,55,15.58,1.99 (1.69-2.29),298,84.42,4.34 (4.17-4.51)
GABA neurons expressing GLU receptors 22,192.0,0.123,44.0,55,7,12.73,2.10 (1.82-2.39),48,87.27,4.30 (3.88-4.71)
GLU like neurons 17,1247.0,0.088,17.0,51,2,3.92,2.00 (NA-NA),49,96.08,3.66 (3.08-4.25)
da like neurons 11,200.0,0.084,6.0,8,0,0.0,NA,8,100.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,450.0,0.066,5.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02)
oligodendrocytes 20,275.0,0.181,41.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29)
GABA like neurons 14,2090.0,0.081,6.0,74,10,13.51,1.96 (1.71-2.21),64,86.49,3.08 (2.67-3.50)
astrocytes 8,771.0,0.049,12.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27)
oligodendrocyte progenitor cells 12,1049.0,0.044,12.0,235,8,3.4,3.24 (2.81-3.68),227,96.6,3.85 (3.61-4.09)
oligodendrocytes 10,2107.0,0.137,46.0,358,60,16.76,2.16 (1.78-2.54),298,83.24,4.33 (4.15-4.50)
connective tissue cells 21,101.0,0.338,74.0,1,0,0.0,NA,1,100.0,8.28 (NA-NA)
astrocytes 15,261.0,0.155,53.0,8,3,37.5,1.39 (-0.70-3.48),5,62.5,5.40 (3.54-7.25)
oligodendrocytes 16,91.0,0.144,14.0,5,0,0.0,NA,5,100.0,1.75 (0.02-3.49)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,109.0,0.267,20.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,721.0,0.154,53.0,61,4,6.56,3.41 (2.76-4.06),57,93.44,2.93 (2.49-3.37)
oligodendrocytes 0,1186.0,0.127,25.0,300,1,0.33,6.89 (NA-NA),299,99.67,3.78 (3.58-3.98)
microglia 1,958.0,0.087,14.0,290,18,6.21,3.40 (2.52-4.28),272,93.79,3.85 (3.61-4.08)
oligodendrocytes 3,357.0,0.303,98.0,127,8,6.3,3.82 (2.75-4.90),119,93.7,3.07 (2.72-3.41)
oligodendrocytes 2,407.0,0.109,8.0,122,37,30.33,1.65 (1.38-1.92),85,69.67,4.38 (3.96-4.81)
