tipo_celular,module_size,DENND4A_MM,DENND4A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,181.0,0.139,13.0,8,0,0.0,NA,8,100.0,1.27 (0.48-2.07)
T cells 18,477.0,0.306,96.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,322.0,0.208,67.0,58,10,17.24,3.24 (2.10-4.38),48,82.76,4.38 (3.95-4.82)
oligodendrocyte progenitor cells 7,448.0,0.126,39.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69)
GABA neurons expressing GLU receptors 22,192.0,0.076,10.0,55,6,10.91,2.10 (1.82-2.39),49,89.09,4.30 (3.88-4.71)
GLU like neurons 17,685.0,0.146,58.0,135,24,17.78,2.05 (1.59-2.51),111,82.22,3.48 (3.14-3.82)
da like neurons 11,204.0,0.324,90.0,2,0,0.0,NA,2,100.0,1.89 (-1.31-5.09)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,412.0,0.226,69.0,141,6,4.26,1.68 (0.99-2.38),135,95.74,3.02 (2.78-3.27)
oligodendrocytes 20,279.0,0.246,62.0,16,0,0.0,NA,16,100.0,2.38 (1.63-3.13)
GABA like neurons 14,1300.0,0.269,78.0,306,22,7.19,3.16 (2.30-4.02),284,92.81,5.30 (5.04-5.56)
astrocytes 8,577.0,0.125,71.0,83,3,3.61,1.55 (0.88-2.21),80,96.39,3.33 (2.87-3.79)
oligodendrocyte progenitor cells 12,138.0,0.388,13.0,5,0,0.0,NA,5,100.0,4.33 (4.33-4.33)
oligodendrocytes 10,2107.0,0.379,97.0,358,42,11.73,1.75 (1.40-2.10),316,88.27,4.25 (4.07-4.43)
connective tissue cells 21,106.0,0.242,40.0,2,0,0.0,NA,2,100.0,4.57 (NA-NA)
astrocytes 15,443.0,0.155,53.0,9,1,11.11,0.95 (NA-NA),8,88.89,3.60 (2.32-4.88)
oligodendrocytes 16,108.0,0.151,33.0,5,4,80.0,4.09 (2.79-5.38),1,20.0,3.52 (NA-NA)
da neurons 6,398.0,0.133,43.0,138,18,13.04,2.75 (2.00-3.50),120,86.96,5.18 (4.81-5.55)
astrocytes microglia 23,89.0,0.231,16.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,514.0,0.121,10.0,95,5,5.26,1.30 (0.81-1.78),90,94.74,3.52 (3.09-3.95)
oligodendrocytes 0,1186.0,0.172,88.0,300,8,2.67,3.50 (3.09-3.91),292,97.33,3.80 (3.59-4.01)
microglia 1,480.0,0.145,26.0,163,9,5.52,3.02 (2.46-3.58),154,94.48,3.75 (3.47-4.03)
oligodendrocytes 3,639.0,0.156,84.0,15,4,26.67,0.50 (0.20-0.80),11,73.33,4.56 (3.30-5.82)
oligodendrocytes 2,804.0,0.203,91.0,84,3,3.57,0.66 (0.21-1.11),81,96.43,2.78 (2.45-3.12)
