tipo_celular,module_size,DCUN1D1_MM,DCUN1D1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,125.0,0.152,13.0,1,0,0.0,NA,1,100.0,0.55 (NA-NA)
T cells 18,624.0,0.109,18.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48)
astrocytes 5,932.0,0.081,10.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,4285.0,0.172,94.0,353,37,10.48,2.12 (1.64-2.60),316,89.52,4.15 (3.97-4.33)
GABA neurons expressing GLU receptors 22,714.0,0.126,17.0,17,5,29.41,2.70 (2.17-3.23),12,70.59,2.15 (1.35-2.94)
GLU like neurons 17,1316.0,0.067,7.0,101,2,1.98,3.00 (NA-NA),99,98.02,3.05 (2.70-3.41)
da like neurons 11,289.0,0.07,2.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,450.0,0.075,7.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02)
oligodendrocytes 20,330.0,0.036,6.0,36,9,25.0,2.14 (1.74-2.53),27,75.0,1.84 (1.39-2.29)
GABA like neurons 14,3052.0,0.186,86.0,125,3,2.4,3.54 (2.65-4.43),122,97.6,3.35 (3.01-3.68)
astrocytes 8,354.0,0.125,53.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47)
oligodendrocyte progenitor cells 12,708.0,0.086,36.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99)
oligodendrocytes 10,2107.0,0.038,3.0,358,43,12.01,2.03 (1.62-2.45),315,87.99,4.19 (4.01-4.38)
connective tissue cells 21,100.0,0.298,67.0,8,0,0.0,NA,8,100.0,1.58 (-0.37-3.52)
astrocytes 15,1768.0,0.072,35.0,105,16,15.24,1.84 (1.28-2.40),89,84.76,3.48 (3.12-3.84)
oligodendrocytes 16,113.0,0.189,61.0,11,0,0.0,NA,11,100.0,1.74 (0.78-2.71)
da neurons 6,307.0,0.079,13.0,95,0,0.0,NA,95,100.0,4.85 (4.41-5.28)
astrocytes microglia 23,122.0,0.293,45.0,5,0,0.0,NA,5,100.0,1.94 (-0.80-4.68)
astrocytes 4,255.0,0.154,34.0,12,0,0.0,NA,12,100.0,4.62 (3.76-5.48)
oligodendrocytes 0,117.0,0.112,25.0,4,0,0.0,NA,4,100.0,5.93 (4.98-6.88)
microglia 1,958.0,0.112,50.0,290,13,4.48,2.89 (1.64-4.14),277,95.52,3.86 (3.62-4.09)
oligodendrocytes 3,681.0,0.12,71.0,87,25,28.74,1.98 (1.55-2.41),62,71.26,2.84 (2.52-3.16)
oligodendrocytes 2,921.0,0.117,19.0,200,2,1.0,2.57 (1.38-3.76),198,99.0,3.63 (3.37-3.90)
