tipo_celular,module_size,SPTBN1_MM,SPTBN1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,172,0.27,79.0,140,11,7.86,3.87 (2.86-4.88),129,92.14,4.58 (4.12-5.03)
T cells 18,349,0.204,57.0,68,23,33.82,3.23 (2.48-3.99),45,66.18,4.97 (4.30-5.64)
astrocytes 5,222,0.188,43.0,98,8,8.16,3.99 (2.62-5.37),90,91.84,4.66 (4.24-5.09)
oligodendrocyte progenitor cells 7,448,0.109,26.0,108,2,1.85,4.23 (1.75-6.71),106,98.15,3.23 (2.78-3.68)
GABA neurons expressing GLU receptors 22,459,0.099,21.0,165,12,7.27,2.94 (1.86-4.03),153,92.73,5.29 (4.95-5.63)
GLU like neurons 17,637,0.231,71.0,91,26,28.57,2.62 (1.84-3.40),65,71.43,5.54 (5.07-6.00)
da like neurons 11,102,0.34,73.0,8,1,12.5,0.95 (NA-NA),7,87.5,3.07 (2.93-3.20)
GABA neurons expressing GABA receptors 13,238,0.185,61.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40)
endothelial cells 9,559,0.173,56.0,155,1,0.65,3.56 (NA-NA),154,99.35,4.34 (3.98-4.71)
oligodendrocytes 20,676,0.448,74.0,110,32,29.09,3.62 (2.93-4.32),78,70.91,5.56 (5.07-6.06)
GABA like neurons 14,1300,0.044,2.0,306,46,15.03,3.63 (2.98-4.29),260,84.97,5.41 (5.15-5.68)
astrocytes 8,279,0.284,53.0,78,15,19.23,3.44 (2.57-4.32),63,80.77,4.50 (4.05-4.96)
oligodendrocyte progenitor cells 12,153,0.337,26.0,27,5,18.52,4.07 (0.64-7.50),22,81.48,4.96 (4.03-5.89)
oligodendrocytes 10,236,0.481,49.0,82,13,15.85,4.66 (3.91-5.40),69,84.15,5.06 (4.46-5.66)
connective tissue cells 21,114,0.435,93.0,19,2,10.53,5.79 (4.71-6.86),17,89.47,4.78 (3.99-5.56)
astrocytes 15,418,0.435,85.0,54,5,9.26,3.70 (2.11-5.30),49,90.74,3.68 (3.22-4.14)
oligodendrocytes 16,287,0.264,38.0,105,39,37.14,3.62 (2.98-4.25),66,62.86,6.05 (5.64-6.45)
da neurons 6,553,0.384,99.0,124,3,2.42,2.17 (-1.29-5.63),121,97.58,4.23 (3.84-4.62)
astrocytes microglia 23,141,0.181,9.0,30,9,30.0,3.33 (2.28-4.39),21,70.0,6.75 (6.05-7.45)
astrocytes 4,161,0.083,4.0,45,7,15.56,7.00 (NA-NA),38,84.44,5.22 (4.59-5.86)
oligodendrocytes 0,261,0.164,37.0,42,27,64.29,3.29 (2.48-4.11),15,35.71,5.53 (4.80-6.25)
microglia 1,214,0.255,73.0,227,22,9.69,3.96 (3.40-4.53),205,90.31,4.10 (3.85-4.36)
oligodendrocytes 3,127,0.212,31.0,45,18,40.0,3.61 (2.82-4.40),27,60.0,5.28 (3.72-6.85)
oligodendrocytes 2,348,0.095,3.0,114,19,16.67,4.14 (3.50-4.78),95,83.33,5.34 (4.87-5.80)
