tipo_celular,module_size,ABHD12_MM,ABHD12_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,401,0.181,67.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24)
T cells 18,477,0.113,18.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,932,0.083,12.0,80,2,2.5,3.48 (3.47-3.49),78,97.5,3.68 (3.26-4.10)
oligodendrocyte progenitor cells 7,4285,0.075,2.0,353,16,4.53,1.86 (0.96-2.75),337,95.47,4.02 (3.84-4.20)
GABA neurons expressing GLU receptors 22,848,0.14,19.0,262,9,3.44,2.60 (1.63-3.56),253,96.56,4.24 (3.99-4.49)
GLU like neurons 17,489,0.108,29.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55)
da like neurons 11,853,0.055,2.0,133,7,5.26,0.55 (0.36-0.73),126,94.74,3.43 (3.13-3.74)
GABA neurons expressing GABA receptors 13,86,0.14,28.0,4,0,0.0,NA,4,100.0,3.07 (1.41-4.72)
endothelial cells 9,450,0.12,20.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02)
oligodendrocytes 20,938,0.124,49.0,169,6,3.55,2.50 (1.39-3.61),163,96.45,3.53 (3.30-3.75)
GABA like neurons 14,2090,0.148,46.0,74,2,2.7,2.53 (NA-NA),72,97.3,2.95 (2.57-3.33)
astrocytes 8,771,0.04,6.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18)
oligodendrocyte progenitor cells 12,3303,0.084,57.0,276,12,4.35,3.41 (2.48-4.34),264,95.65,3.55 (3.32-3.77)
oligodendrocytes 10,1277,0.081,32.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,103,0.389,93.0,2,0,0.0,NA,2,100.0,3.59 (3.46-3.72)
astrocytes 15,1401,0.092,56.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06)
oligodendrocytes 16,105,0.235,59.0,12,0,0.0,NA,12,100.0,2.24 (1.48-3.00)
da neurons 6,398,0.058,2.0,138,1,0.72,0.26 (NA-NA),137,99.28,4.86 (4.50-5.23)
astrocytes microglia 23,255,0.246,41.0,57,0,0.0,NA,57,100.0,2.65 (2.29-3.01)
astrocytes 4,787,0.132,18.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,117,0.098,14.0,4,0,0.0,NA,4,100.0,5.93 (4.98-6.88)
microglia 1,346,0.115,26.0,43,1,2.33,4.41 (NA-NA),42,97.67,3.75 (3.23-4.27)
oligodendrocytes 3,242,0.117,42.0,6,0,0.0,NA,6,100.0,5.99 (5.03-6.94)
oligodendrocytes 2,347,0.102,3.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63)
