tipo_celular,module_size,UNC13B_MM,UNC13B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,249.0,0.182,70.0,35,0,0.0,NA,35,100.0,3.74 (2.80-4.69)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1141.0,0.11,22.0,166,8,4.82,2.04 (0.47-3.60),158,95.18,3.45 (3.20-3.70)
oligodendrocyte progenitor cells 7,666.0,0.17,53.0,127,23,18.11,2.98 (2.36-3.60),104,81.89,4.14 (3.77-4.52)
GABA neurons expressing GLU receptors 22,823.0,0.407,100.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12)
GLU like neurons 17,1247.0,0.111,32.0,51,3,5.88,2.04 (1.96-2.12),48,94.12,3.70 (3.11-4.30)
da like neurons 11,94.0,0.267,57.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,658.0,0.281,73.0,120,24,20.0,3.23 (2.80-3.66),96,80.0,5.02 (4.67-5.36)
oligodendrocytes 20,938.0,0.094,33.0,169,19,11.24,2.87 (2.27-3.47),150,88.76,3.57 (3.33-3.80)
GABA like neurons 14,3052.0,0.126,38.0,125,1,0.8,NA,124,99.2,3.35 (3.03-3.68)
astrocytes 8,577.0,0.04,9.0,83,1,1.2,0.87 (NA-NA),82,98.8,3.29 (2.84-3.74)
oligodendrocyte progenitor cells 12,3303.0,0.092,66.0,276,24,8.7,3.12 (2.53-3.70),252,91.3,3.60 (3.36-3.83)
oligodendrocytes 10,2107.0,0.07,13.0,358,34,9.5,2.13 (1.66-2.61),324,90.5,4.09 (3.90-4.28)
connective tissue cells 21,145.0,0.334,71.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,1401.0,0.139,85.0,96,13,13.54,3.76 (2.71-4.82),83,86.46,3.59 (3.09-4.08)
oligodendrocytes 16,71.0,0.288,83.0,1,1,100.0,3.52 (NA-NA),0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,125.0,0.241,10.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,787.0,0.134,20.0,65,1,1.54,2.85 (NA-NA),64,98.46,2.96 (2.56-3.37)
oligodendrocytes 0,2078.0,0.127,77.0,238,9,3.78,2.75 (1.98-3.53),229,96.22,3.68 (3.45-3.90)
microglia 1,346.0,0.152,54.0,43,4,9.3,3.67 (3.37-3.96),39,90.7,3.78 (3.21-4.35)
oligodendrocytes 3,854.0,0.087,47.0,76,2,2.63,2.13 (-1.64-5.89),74,97.37,2.80 (2.47-3.13)
oligodendrocytes 2,347.0,0.129,11.0,15,5,33.33,6.09 (NA-NA),10,66.67,4.62 (3.89-5.35)
