tipo_celular,module_size,PATJ_MM,PATJ_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,305.0,0.138,30.0,15,4,26.67,4.84 (4.24-5.45),11,73.33,6.33 (5.52-7.14)
T cells 18,388.0,0.329,94.0,84,1,1.19,3.70 (NA-NA),83,98.81,2.96 (2.63-3.29)
astrocytes 5,499.0,0.145,41.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52)
oligodendrocyte progenitor cells 7,4285.0,0.093,6.0,353,20,5.67,1.76 (1.15-2.37),333,94.33,4.04 (3.86-4.22)
GABA neurons expressing GLU receptors 22,203.0,0.052,1.0,12,0,0.0,NA,12,100.0,2.44 (0.91-3.97)
GLU like neurons 17,1247.0,0.247,94.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,200.0,0.348,91.0,8,2,25.0,NA,6,75.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.169,79.0,297,4,1.35,6.04 (1.64-10.44),293,98.65,3.65 (3.45-3.85)
oligodendrocytes 20,279.0,0.02,2.0,16,1,6.25,4.17 (NA-NA),15,93.75,2.26 (1.50-3.01)
GABA like neurons 14,1300.0,0.189,42.0,306,28,9.15,3.20 (2.52-3.89),278,90.85,5.38 (5.12-5.64)
astrocytes 8,1266.0,0.137,84.0,66,19,28.79,2.15 (1.41-2.89),47,71.21,3.68 (3.24-4.13)
oligodendrocyte progenitor cells 12,3303.0,0.134,95.0,276,12,4.35,2.16 (1.35-2.98),264,95.65,3.61 (3.39-3.83)
oligodendrocytes 10,1277.0,0.045,9.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,183.0,0.58,98.0,32,1,3.12,0.87 (NA-NA),31,96.88,5.26 (4.67-5.86)
astrocytes 15,443.0,0.141,40.0,9,1,11.11,0.95 (NA-NA),8,88.89,3.60 (2.32-4.88)
oligodendrocytes 16,149.0,0.27,68.0,70,1,1.43,7.18 (NA-NA),69,98.57,5.62 (5.14-6.10)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,41.0,0.219,5.0,2,0,0.0,NA,2,100.0,1.57 (1.57-1.57)
astrocytes 4,752.0,0.119,10.0,96,8,8.33,3.34 (2.14-4.54),88,91.67,3.29 (2.94-3.63)
oligodendrocytes 0,2078.0,0.075,3.0,238,3,1.26,1.22 (-0.77-3.20),235,98.74,3.66 (3.44-3.88)
microglia 1,346.0,0.072,3.0,43,0,0.0,NA,43,100.0,3.77 (3.26-4.27)
oligodendrocytes 3,639.0,0.075,32.0,15,5,33.33,0.85 (0.13-1.56),10,66.67,4.86 (3.58-6.13)
oligodendrocytes 2,407.0,0.1,5.0,122,12,9.84,1.12 (0.59-1.64),110,90.16,3.65 (3.26-4.04)
