tipo_celular,module_size,TBK1_MM,TBK1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,172.0,0.112,22.0,140,1,0.71,NA,139,99.29,4.51 (4.08-4.93)
T cells 18,518.0,0.191,72.0,131,5,3.82,6.13 (3.92-8.34),126,96.18,2.94 (2.69-3.18)
astrocytes 5,1656.0,0.111,42.0,136,6,4.41,2.08 (1.22-2.94),130,95.59,3.27 (2.99-3.55)
oligodendrocyte progenitor cells 7,4285.0,0.147,69.0,353,74,20.96,2.67 (2.31-3.03),279,79.04,4.33 (4.15-4.51)
GABA neurons expressing GLU receptors 22,703.0,0.164,37.0,23,4,17.39,2.29 (1.14-3.45),19,82.61,2.06 (1.25-2.87)
GLU like neurons 17,685.0,0.067,9.0,135,41,30.37,2.64 (2.23-3.05),94,69.63,3.48 (3.08-3.88)
da like neurons 11,265.0,0.202,57.0,4,1,25.0,2.68 (NA-NA),3,75.0,1.50 (-0.93-3.93)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,412.0,0.122,24.0,141,12,8.51,2.65 (1.89-3.40),129,91.49,2.99 (2.74-3.25)
oligodendrocytes 20,358.0,0.267,86.0,31,3,9.68,3.29 (2.72-3.86),28,90.32,2.25 (1.79-2.72)
GABA like neurons 14,2402.0,0.131,18.0,455,31,6.81,2.53 (1.77-3.28),424,93.19,4.52 (4.35-4.70)
astrocytes 8,260.0,0.109,40.0,4,2,50.0,1.10 (-0.55-2.76),2,50.0,3.78 (NA-NA)
oligodendrocyte progenitor cells 12,3303.0,0.056,22.0,276,61,22.1,2.50 (2.21-2.80),215,77.9,3.94 (3.68-4.19)
oligodendrocytes 10,2107.0,0.11,33.0,358,86,24.02,2.68 (2.33-3.03),272,75.98,4.39 (4.20-4.58)
connective tissue cells 21,136.0,0.235,21.0,3,0,0.0,NA,3,100.0,0.26 (NA-NA)
astrocytes 15,1768.0,0.093,56.0,105,29,27.62,2.73 (2.04-3.41),76,72.38,3.42 (3.05-3.79)
oligodendrocytes 16,156.0,0.161,20.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56)
da neurons 6,518.0,0.096,34.0,122,10,8.2,1.32 (0.66-1.97),112,91.8,4.31 (3.93-4.69)
astrocytes microglia 23,126.0,0.327,54.0,1,0,0.0,NA,1,100.0,5.16 (NA-NA)
astrocytes 4,787.0,0.147,42.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,2078.0,0.141,94.0,238,25,10.5,3.21 (2.58-3.84),213,89.5,3.69 (3.46-3.93)
microglia 1,480.0,0.191,50.0,163,34,20.86,4.23 (3.81-4.65),129,79.14,3.55 (3.24-3.87)
oligodendrocytes 3,639.0,0.045,4.0,15,7,46.67,1.49 (0.55-2.43),8,53.33,5.44 (4.03-6.86)
oligodendrocytes 2,921.0,0.151,74.0,200,4,2.0,3.51 (0.74-6.28),196,98.0,3.62 (3.36-3.89)
