tipo_celular,module_size,CBFA2T2_MM,CBFA2T2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,305.0,0.157,39.0,15,5,33.33,6.20 (5.24-7.16),10,66.67,5.45 (4.46-6.44)
T cells 18,477.0,0.205,76.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,932.0,0.118,64.0,80,2,2.5,4.37 (4.37-4.37),78,97.5,3.65 (3.23-4.07)
oligodendrocyte progenitor cells 7,666.0,0.157,42.0,127,6,4.72,1.66 (0.86-2.46),121,95.28,4.00 (3.66-4.33)
GABA neurons expressing GLU receptors 22,823.0,0.1,8.0,23,2,8.7,2.39 (-0.32-5.11),21,91.3,2.40 (1.62-3.18)
GLU like neurons 17,1247.0,0.183,77.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,853.0,0.181,77.0,133,46,34.59,2.32 (1.97-2.67),87,65.41,3.90 (3.49-4.30)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.192,87.0,297,2,0.67,5.16 (5.16-5.16),295,99.33,3.66 (3.46-3.87)
oligodendrocytes 20,322.0,0.235,86.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43)
GABA like neurons 14,1300.0,0.33,94.0,306,33,10.78,3.94 (3.21-4.67),273,89.22,5.30 (5.03-5.58)
astrocytes 8,1266.0,0.135,83.0,66,27,40.91,2.84 (2.20-3.49),39,59.09,3.57 (3.04-4.10)
oligodendrocyte progenitor cells 12,708.0,0.145,64.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99)
oligodendrocytes 10,1277.0,0.178,84.0,27,2,7.41,NA,25,92.59,5.41 (4.54-6.27)
connective tissue cells 21,100.0,0.221,31.0,8,0,0.0,NA,8,100.0,1.58 (-0.37-3.52)
astrocytes 15,1768.0,0.08,45.0,105,20,19.05,1.96 (1.43-2.49),85,80.95,3.54 (3.17-3.90)
oligodendrocytes 16,121.0,0.137,6.0,8,0,0.0,NA,8,100.0,0.99 (0.10-1.89)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,190.0,0.187,5.0,7,0,0.0,NA,7,100.0,4.84 (3.75-5.92)
astrocytes 4,514.0,0.116,8.0,95,4,4.21,1.14 (0.66-1.61),91,95.79,3.50 (3.07-3.92)
oligodendrocytes 0,1186.0,0.179,92.0,300,7,2.33,3.93 (3.33-4.53),293,97.67,3.79 (3.58-4.00)
microglia 1,346.0,0.09,8.0,43,0,0.0,NA,43,100.0,3.77 (3.26-4.27)
oligodendrocytes 3,639.0,0.133,76.0,15,3,20.0,0.35 (0.26-0.44),12,80.0,4.20 (2.87-5.53)
oligodendrocytes 2,804.0,0.217,97.0,84,4,4.76,1.12 (0.39-1.86),80,95.24,2.79 (2.45-3.13)
