tipo_celular,module_size,SRP19_MM,SRP19_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,172.0,0.156,43.0,140,2,1.43,2.03 (1.97-2.09),138,98.57,4.56 (4.14-4.99)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.12,57.0,136,4,2.94,2.44 (0.98-3.90),132,97.06,3.23 (2.96-3.51)
oligodendrocyte progenitor cells 7,4285.0,0.135,49.0,353,39,11.05,2.17 (1.74-2.59),314,88.95,4.15 (3.97-4.34)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.074,5.0,410,25,6.1,4.15 (3.35-4.95),385,93.9,4.26 (4.06-4.45)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,586.0,0.052,2.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49)
oligodendrocytes 20,295.0,0.05,9.0,28,0,0.0,NA,28,100.0,2.19 (1.73-2.65)
GABA like neurons 14,2402.0,0.23,50.0,455,39,8.57,2.93 (2.31-3.55),416,91.43,4.51 (4.32-4.70)
astrocytes 8,727.0,0.06,17.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,3303.0,0.103,77.0,276,21,7.61,2.36 (1.89-2.83),255,92.39,3.67 (3.44-3.90)
oligodendrocytes 10,204.0,0.015,1.0,92,0,0.0,NA,92,100.0,5.70 (5.23-6.17)
connective tissue cells 21,92.0,0.452,98.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.057,20.0,105,18,17.14,2.05 (1.52-2.58),87,82.86,3.46 (3.09-3.83)
oligodendrocytes 16,313.0,0.101,4.0,291,19,6.53,4.26 (3.32-5.21),272,93.47,4.33 (4.10-4.56)
da neurons 6,729.0,0.047,1.0,182,7,3.85,2.47 (1.70-3.24),175,96.15,3.69 (3.44-3.95)
astrocytes microglia 23,72.0,0.242,8.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.147,55.0,104,19,18.27,2.20 (1.59-2.81),85,81.73,3.01 (2.71-3.32)
oligodendrocytes 0,613.0,0.126,32.0,127,8,6.3,3.44 (3.06-3.81),119,93.7,3.01 (2.56-3.47)
microglia 1,958.0,0.1,32.0,290,18,6.21,2.91 (2.47-3.36),272,93.79,3.89 (3.65-4.13)
oligodendrocytes 3,357.0,0.078,36.0,127,1,0.79,4.40 (NA-NA),126,99.21,3.11 (2.77-3.44)
oligodendrocytes 2,1630.0,0.152,71.0,154,1,0.65,4.40 (NA-NA),153,99.35,3.24 (2.97-3.50)
