tipo_celular,module_size,STRN_MM,STRN_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,211.0,0.194,64.0,47,0,0.0,NA,47,100.0,2.59 (2.10-3.08)
T cells 18,727.0,0.214,91.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82)
astrocytes 5,1141.0,0.125,39.0,166,6,3.61,1.96 (0.97-2.95),160,96.39,3.46 (3.20-3.71)
oligodendrocyte progenitor cells 7,4285.0,0.153,77.0,353,15,4.25,1.65 (1.06-2.24),338,95.75,4.01 (3.83-4.19)
GABA neurons expressing GLU receptors 22,459.0,0.097,20.0,165,30,18.18,3.67 (2.79-4.55),135,81.82,5.38 (5.03-5.73)
GLU like neurons 17,637.0,0.169,55.0,91,16,17.58,2.30 (1.58-3.03),75,82.42,5.18 (4.66-5.70)
da like neurons 11,102.0,0.254,54.0,8,1,12.5,0.95 (NA-NA),7,87.5,3.07 (2.93-3.20)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.136,56.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,295.0,0.094,15.0,28,0,0.0,NA,28,100.0,2.19 (1.73-2.65)
GABA like neurons 14,3052.0,0.118,32.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,771.0,0.128,51.0,48,3,6.25,4.72 (0.83-8.62),45,93.75,4.41 (3.64-5.17)
oligodendrocyte progenitor cells 12,708.0,0.518,98.0,32,10,31.25,2.63 (1.38-3.88),22,68.75,3.54 (2.51-4.57)
oligodendrocytes 10,2107.0,0.163,56.0,358,21,5.87,1.43 (0.92-1.94),337,94.13,4.02 (3.83-4.20)
connective tissue cells 21,103.0,0.268,49.0,2,0,0.0,NA,2,100.0,3.59 (3.46-3.72)
astrocytes 15,1768.0,0.081,45.0,105,8,7.62,1.53 (0.89-2.17),97,92.38,3.36 (3.02-3.71)
oligodendrocytes 16,82.0,0.19,65.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,110.0,0.233,5.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,787.0,0.158,63.0,65,1,1.54,2.85 (NA-NA),64,98.46,2.96 (2.56-3.37)
oligodendrocytes 0,309.0,0.22,91.0,30,2,6.67,6.09 (6.09-6.09),28,93.33,6.09 (5.42-6.75)
microglia 1,1615.0,0.103,40.0,161,9,5.59,1.08 (0.29-1.86),152,94.41,3.41 (3.15-3.68)
oligodendrocytes 3,639.0,0.173,88.0,15,5,33.33,2.32 (-1.20-5.85),10,66.67,3.75 (2.46-5.05)
oligodendrocytes 2,131.0,0.252,77.0,20,3,15.0,3.68 (1.21-6.15),17,85.0,4.70 (3.97-5.44)
