tipo_celular,module_size,NARS2_MM,NARS2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,360.0,0.17,40.0,102,9,8.82,1.90 (1.14-2.67),93,91.18,3.66 (3.29-4.04)
T cells 18,477.0,0.193,70.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,423.0,0.162,58.0,80,0,0.0,NA,80,100.0,3.40 (2.93-3.88)
oligodendrocyte progenitor cells 7,4285.0,0.156,81.0,353,28,7.93,1.78 (1.29-2.27),325,92.07,4.13 (3.95-4.31)
GABA neurons expressing GLU receptors 22,599.0,0.206,48.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13)
GLU like neurons 17,1316.0,0.093,21.0,101,1,0.99,2.53 (NA-NA),100,99.01,3.06 (2.70-3.41)
da like neurons 11,853.0,0.095,23.0,133,20,15.04,1.45 (1.03-1.88),113,84.96,3.64 (3.32-3.96)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.121,45.0,297,1,0.34,2.53 (NA-NA),296,99.66,3.68 (3.47-3.88)
oligodendrocytes 20,403.0,0.076,34.0,18,10,55.56,1.12 (0.57-1.68),8,44.44,2.82 (1.76-3.89)
GABA like neurons 14,3052.0,0.136,47.0,125,1,0.8,5.16 (NA-NA),124,99.2,3.33 (3.01-3.66)
astrocytes 8,577.0,0.164,85.0,83,1,1.2,2.53 (NA-NA),82,98.8,3.26 (2.81-3.72)
oligodendrocyte progenitor cells 12,3303.0,0.067,35.0,276,19,6.88,1.99 (1.52-2.47),257,93.12,3.70 (3.47-3.92)
oligodendrocytes 10,2107.0,0.237,79.0,358,27,7.54,1.78 (1.27-2.29),331,92.46,4.10 (3.91-4.28)
connective tissue cells 21,82.0,0.219,18.0,19,0,0.0,NA,19,100.0,7.57 (7.32-7.82)
astrocytes 15,377.0,0.17,65.0,14,4,28.57,1.28 (-0.27-2.83),10,71.43,2.71 (0.96-4.45)
oligodendrocytes 16,121.0,0.202,43.0,8,0,0.0,NA,8,100.0,0.99 (0.10-1.89)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,72.0,0.335,64.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,514.0,0.279,81.0,95,0,0.0,NA,95,100.0,3.37 (2.95-3.79)
oligodendrocytes 0,2078.0,0.113,46.0,238,6,2.52,3.29 (1.52-5.05),232,97.48,3.65 (3.43-3.87)
microglia 1,813.0,0.136,70.0,79,5,6.33,4.70 (3.75-5.65),74,93.67,2.98 (2.57-3.40)
oligodendrocytes 3,854.0,0.096,58.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14)
oligodendrocytes 2,804.0,0.114,10.0,84,4,4.76,1.13 (0.16-2.09),80,95.24,2.79 (2.45-3.13)
