tipo_celular,module_size,CNTRL_MM,CNTRL_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,218.0,0.112,3.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37)
T cells 18,624.0,0.173,67.0,142,2,1.41,NA,140,98.59,3.21 (2.94-3.48)
astrocytes 5,1141.0,0.149,74.0,166,6,3.61,1.58 (0.75-2.41),160,96.39,3.45 (3.19-3.70)
oligodendrocyte progenitor cells 7,4285.0,0.159,84.0,353,15,4.25,1.51 (0.78-2.24),338,95.75,4.01 (3.83-4.19)
GABA neurons expressing GLU receptors 22,703.0,0.174,44.0,23,0,0.0,NA,23,100.0,2.09 (1.38-2.80)
GLU like neurons 17,795.0,0.087,22.0,80,4,5.0,4.39 (4.23-4.56),76,95.0,5.75 (5.32-6.18)
da like neurons 11,145.0,0.231,50.0,1,0,0.0,NA,1,100.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.129,51.0,297,2,0.67,NA,295,99.33,3.67 (3.47-3.88)
oligodendrocytes 20,403.0,0.046,14.0,18,5,27.78,0.61 (0.39-0.83),13,72.22,2.36 (1.58-3.15)
GABA like neurons 14,3052.0,0.114,29.0,125,3,2.4,4.56 (NA-NA),122,97.6,3.34 (3.02-3.67)
astrocytes 8,771.0,0.094,39.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18)
oligodendrocyte progenitor cells 12,3303.0,0.074,44.0,276,9,3.26,1.94 (0.95-2.94),267,96.74,3.60 (3.38-3.82)
oligodendrocytes 10,2107.0,0.427,99.0,358,14,3.91,1.26 (0.68-1.84),344,96.09,3.98 (3.80-4.17)
connective tissue cells 21,77.0,0.3,57.0,3,0,0.0,NA,3,100.0,2.87 (-1.86-7.60)
astrocytes 15,1768.0,0.104,66.0,105,4,3.81,1.48 (0.52-2.43),101,96.19,3.29 (2.95-3.63)
oligodendrocytes 16,155.0,0.184,31.0,8,1,12.5,0.40 (NA-NA),7,87.5,3.29 (-0.08-6.66)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,114.0,0.245,16.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,787.0,0.16,66.0,65,2,3.08,4.33 (NA-NA),63,96.92,2.94 (2.54-3.33)
oligodendrocytes 0,1186.0,0.139,39.0,300,1,0.33,NA,299,99.67,3.79 (3.59-4.00)
microglia 1,1615.0,0.172,96.0,161,11,6.83,1.19 (0.50-1.89),150,93.17,3.44 (3.18-3.71)
oligodendrocytes 3,357.0,0.079,37.0,127,0,0.0,NA,127,100.0,3.12 (2.79-3.45)
oligodendrocytes 2,921.0,0.153,77.0,200,1,0.5,NA,199,99.5,3.62 (3.36-3.89)
