tipo_celular,module_size,SETD3_MM,SETD3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185.0,0.178,34.0,17,0,0.0,NA,17,100.0,1.90 (1.29-2.52)
T cells 18,727.0,0.133,41.0,49,1,2.04,2.53 (NA-NA),48,97.96,2.43 (2.02-2.83)
astrocytes 5,1141.0,0.117,29.0,166,37,22.29,2.28 (1.95-2.61),129,77.71,3.80 (3.52-4.08)
oligodendrocyte progenitor cells 7,4285.0,0.151,74.0,353,59,16.71,2.15 (1.88-2.43),294,83.29,4.36 (4.18-4.54)
GABA neurons expressing GLU receptors 22,703.0,0.216,69.0,23,2,8.7,1.85 (0.53-3.17),21,91.3,2.12 (1.34-2.89)
GLU like neurons 17,489.0,0.079,11.0,42,1,2.38,2.68 (NA-NA),41,97.62,6.11 (5.58-6.64)
da like neurons 11,89.0,0.063,3.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.08,14.0,297,12,4.04,3.87 (2.80-4.93),285,95.96,3.67 (3.46-3.88)
oligodendrocytes 20,295.0,0.299,82.0,28,9,32.14,2.72 (2.18-3.27),19,67.86,1.95 (1.36-2.55)
GABA like neurons 14,3052.0,0.135,46.0,125,1,0.8,3.00 (NA-NA),124,99.2,3.36 (3.03-3.68)
astrocytes 8,577.0,0.039,8.0,83,6,7.23,2.22 (1.54-2.89),77,92.77,3.35 (2.87-3.83)
oligodendrocyte progenitor cells 12,3303.0,0.128,93.0,276,49,17.75,2.30 (2.03-2.56),227,82.25,3.91 (3.67-4.15)
oligodendrocytes 10,2107.0,0.144,50.0,358,77,21.51,2.12 (1.87-2.38),281,78.49,4.44 (4.25-4.62)
connective tissue cells 21,106.0,0.305,70.0,2,0,0.0,NA,2,100.0,4.57 (NA-NA)
astrocytes 15,1401.0,0.12,77.0,96,8,8.33,3.46 (2.31-4.61),88,91.67,3.63 (3.15-4.11)
oligodendrocytes 16,64.0,0.199,53.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,95.0,0.175,2.0,4,0,0.0,NA,4,100.0,0.43 (0.30-0.56)
astrocytes 4,787.0,0.143,35.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,2078.0,0.139,93.0,238,22,9.24,2.68 (2.28-3.08),216,90.76,3.75 (3.51-3.98)
microglia 1,813.0,0.109,42.0,79,2,2.53,NA,77,97.47,3.10 (2.70-3.50)
oligodendrocytes 3,1003.0,0.093,46.0,111,1,0.9,2.71 (NA-NA),110,99.1,3.31 (2.96-3.65)
oligodendrocytes 2,921.0,0.099,6.0,200,3,1.5,1.64 (1.01-2.27),197,98.5,3.65 (3.38-3.91)
