tipo_celular,module_size,NUP133_MM,NUP133_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,206.0,0.263,78.0,10,1,10.0,NA,9,90.0,1.83 (0.82-2.85)
T cells 18,624.0,0.093,9.0,142,4,2.82,4.61 (3.79-5.43),138,97.18,3.16 (2.89-3.43)
astrocytes 5,1656.0,0.134,79.0,136,6,4.41,2.58 (1.15-4.01),130,95.59,3.24 (2.96-3.51)
oligodendrocyte progenitor cells 7,4285.0,0.156,80.0,353,56,15.86,2.94 (2.40-3.48),297,84.14,4.11 (3.93-4.30)
GABA neurons expressing GLU receptors 22,714.0,0.179,50.0,17,2,11.76,2.07 (2.05-2.09),15,88.24,2.34 (1.67-3.00)
GLU like neurons 17,637.0,0.086,16.0,91,16,17.58,1.66 (1.06-2.27),75,82.42,5.44 (5.01-5.86)
da like neurons 11,101.0,0.296,63.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.105,31.0,297,14,4.71,4.85 (4.06-5.65),283,95.29,3.61 (3.40-3.82)
oligodendrocytes 20,322.0,0.1,38.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43)
GABA like neurons 14,3052.0,0.124,37.0,125,4,3.2,5.30 (4.42-6.19),121,96.8,3.27 (2.95-3.60)
astrocytes 8,771.0,0.05,13.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18)
oligodendrocyte progenitor cells 12,3303.0,0.109,82.0,276,34,12.32,2.54 (2.05-3.02),242,87.68,3.70 (3.47-3.93)
oligodendrocytes 10,2107.0,0.075,15.0,358,57,15.92,3.03 (2.48-3.57),301,84.08,4.06 (3.87-4.25)
connective tissue cells 21,100.0,0.111,2.0,8,0,0.0,NA,8,100.0,1.58 (-0.37-3.52)
astrocytes 15,338.0,0.053,6.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51)
oligodendrocytes 16,85.0,0.196,43.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,131.0,0.223,7.0,5,0,0.0,NA,5,100.0,0.46 (0.38-0.54)
astrocytes 4,1807.0,0.163,83.0,104,16,15.38,1.81 (1.13-2.49),88,84.62,3.07 (2.78-3.36)
oligodendrocytes 0,2078.0,0.14,93.0,238,23,9.66,4.71 (3.88-5.55),215,90.34,3.52 (3.30-3.75)
microglia 1,1615.0,0.075,6.0,161,24,14.91,1.54 (1.07-2.01),137,85.09,3.66 (3.40-3.92)
oligodendrocytes 3,1003.0,0.107,61.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,921.0,0.129,34.0,200,29,14.5,4.10 (3.52-4.68),171,85.5,3.54 (3.24-3.83)
