tipo_celular,module_size,SENP7_MM,SENP7_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,181.0,0.142,17.0,8,0,0.0,NA,8,100.0,1.27 (0.48-2.07)
T cells 18,727.0,0.209,90.0,49,3,6.12,3.46 (2.38-4.54),46,93.88,2.35 (1.94-2.76)
astrocytes 5,1141.0,0.161,86.0,166,13,7.83,1.92 (1.16-2.68),153,92.17,3.54 (3.29-3.80)
oligodendrocyte progenitor cells 7,448.0,0.16,66.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69)
GABA neurons expressing GLU receptors 22,823.0,0.162,40.0,23,4,17.39,2.59 (1.55-3.63),19,82.61,2.34 (1.44-3.24)
GLU like neurons 17,637.0,0.061,6.0,91,8,8.79,0.65 (0.26-1.05),83,91.21,5.06 (4.62-5.51)
da like neurons 11,289.0,0.344,96.0,6,2,33.33,NA,4,66.67,2.89 (2.54-3.24)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.151,68.0,297,5,1.68,3.53 (2.75-4.30),292,98.32,3.68 (3.47-3.88)
oligodendrocytes 20,228.0,0.354,90.0,5,2,40.0,1.10 (-0.55-2.76),3,60.0,4.69 (2.53-6.85)
GABA like neurons 14,3052.0,0.2,92.0,125,2,1.6,3.00 (NA-NA),123,98.4,3.36 (3.03-3.68)
astrocytes 8,354.0,0.153,67.0,8,2,25.0,NA,6,75.0,0.78 (0.08-1.47)
oligodendrocyte progenitor cells 12,138.0,0.508,74.0,5,0,0.0,NA,5,100.0,4.33 (4.33-4.33)
oligodendrocytes 10,2107.0,0.245,81.0,358,22,6.15,1.79 (1.10-2.48),336,93.85,4.04 (3.85-4.22)
connective tissue cells 21,110.0,0.229,32.0,13,4,30.77,2.68 (1.54-3.82),9,69.23,3.31 (2.21-4.41)
astrocytes 15,1768.0,0.077,41.0,105,11,10.48,1.58 (0.98-2.18),94,89.52,3.42 (3.08-3.77)
oligodendrocytes 16,87.0,0.263,90.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,72.0,0.316,51.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,752.0,0.178,86.0,96,1,1.04,4.43 (NA-NA),95,98.96,3.27 (2.94-3.61)
oligodendrocytes 0,1186.0,0.154,66.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00)
microglia 1,1615.0,0.142,85.0,161,19,11.8,1.55 (0.96-2.14),142,88.2,3.56 (3.30-3.83)
oligodendrocytes 3,1003.0,0.102,57.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,804.0,0.146,44.0,84,9,10.71,2.41 (1.48-3.34),75,89.29,2.73 (2.37-3.09)
