tipo_celular,module_size,MON2_MM,MON2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,249.0,0.132,38.0,35,0,0.0,NA,35,100.0,3.74 (2.80-4.69)
T cells 18,727.0,0.248,98.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82)
astrocytes 5,1141.0,0.16,85.0,166,5,3.01,1.54 (-0.63-3.71),161,96.99,3.45 (3.20-3.69)
oligodendrocyte progenitor cells 7,448.0,0.167,71.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69)
GABA neurons expressing GLU receptors 22,459.0,0.1,21.0,165,0,0.0,NA,165,100.0,5.06 (4.72-5.41)
GLU like neurons 17,1247.0,0.119,38.0,51,2,3.92,2.04 (1.96-2.12),49,96.08,3.70 (3.11-4.30)
da like neurons 11,265.0,0.249,73.0,4,1,25.0,2.74 (NA-NA),3,75.0,1.47 (-0.90-3.84)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.183,84.0,297,3,1.01,5.87 (3.86-7.88),294,98.99,3.65 (3.45-3.86)
oligodendrocytes 20,676.0,0.44,73.0,110,1,0.91,2.91 (NA-NA),109,99.09,5.02 (4.57-5.47)
GABA like neurons 14,1300.0,0.198,46.0,306,7,2.29,1.73 (1.16-2.30),299,97.71,5.21 (4.95-5.47)
astrocytes 8,260.0,0.172,76.0,4,2,50.0,1.10 (-0.55-2.76),2,50.0,3.78 (NA-NA)
oligodendrocyte progenitor cells 12,138.0,0.423,30.0,5,0,0.0,NA,5,100.0,4.33 (4.33-4.33)
oligodendrocytes 10,130.0,0.439,62.0,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,126.0,0.183,2.0,7,0,0.0,NA,7,100.0,1.50 (0.53-2.48)
astrocytes 15,1768.0,0.186,98.0,105,8,7.62,2.13 (1.13-3.13),97,92.38,3.31 (2.96-3.66)
oligodendrocytes 16,153.0,0.381,58.0,14,0,0.0,NA,14,100.0,4.67 (3.94-5.40)
da neurons 6,398.0,0.183,61.0,138,3,2.17,1.24 (-0.41-2.89),135,97.83,4.92 (4.56-5.28)
astrocytes microglia 23,253.0,0.214,28.0,47,0,0.0,NA,47,100.0,2.84 (2.52-3.17)
astrocytes 4,752.0,0.185,92.0,96,0,0.0,NA,96,100.0,3.29 (2.96-3.62)
oligodendrocytes 0,261.0,0.153,30.0,42,1,2.38,NA,41,97.62,4.06 (3.37-4.75)
microglia 1,958.0,0.114,55.0,290,4,1.38,2.91 (1.60-4.22),286,98.62,3.83 (3.60-4.06)
oligodendrocytes 3,116.0,0.236,20.0,7,0,0.0,NA,7,100.0,3.71 (1.38-6.05)
oligodendrocytes 2,237.0,0.153,20.0,26,0,0.0,NA,26,100.0,5.22 (4.28-6.15)
