tipo_celular,module_size,XPA_MM,XPA_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,184.0,0.189,40.0,21,13,61.9,1.57 (0.94-2.20),8,38.1,3.39 (2.59-4.20)
T cells 18,727.0,0.071,4.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82)
astrocytes 5,1656.0,0.123,62.0,136,2,1.47,1.39 (1.08-1.71),134,98.53,3.24 (2.97-3.51)
oligodendrocyte progenitor cells 7,4285.0,0.13,42.0,353,40,11.33,1.94 (1.57-2.32),313,88.67,4.22 (4.04-4.39)
GABA neurons expressing GLU receptors 22,703.0,0.151,30.0,23,2,8.7,1.50 (0.87-2.12),21,91.3,2.15 (1.37-2.93)
GLU like neurons 17,489.0,0.059,4.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55)
da like neurons 11,145.0,0.162,32.0,1,0,0.0,NA,1,100.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,450.0,0.088,9.0,74,1,1.35,1.74 (NA-NA),73,98.65,5.54 (5.00-6.08)
oligodendrocytes 20,676.0,0.048,21.0,110,2,1.82,1.99 (1.51-2.46),108,98.18,5.07 (4.63-5.52)
GABA like neurons 14,3052.0,0.129,41.0,125,2,1.6,3.13 (2.95-3.30),123,98.4,3.36 (3.03-3.69)
astrocytes 8,603.0,0.076,50.0,89,6,6.74,1.39 (0.80-1.98),83,93.26,2.90 (2.53-3.26)
oligodendrocyte progenitor cells 12,3303.0,0.059,25.0,276,27,9.78,1.98 (1.60-2.35),249,90.22,3.75 (3.53-3.98)
oligodendrocytes 10,1277.0,0.081,32.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,100.0,0.345,78.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.112,73.0,105,21,20.0,1.86 (1.41-2.31),84,80.0,3.59 (3.22-3.95)
oligodendrocytes 16,113.0,0.185,56.0,11,0,0.0,NA,11,100.0,1.74 (0.78-2.71)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,37.0,0.336,53.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.178,96.0,104,23,22.12,1.93 (1.42-2.44),81,77.88,3.16 (2.85-3.46)
oligodendrocytes 0,2078.0,0.103,27.0,238,8,3.36,2.49 (1.52-3.46),230,96.64,3.68 (3.46-3.91)
microglia 1,1615.0,0.091,24.0,161,31,19.25,1.75 (1.34-2.16),130,80.75,3.74 (3.47-4.01)
oligodendrocytes 3,854.0,0.079,37.0,76,3,3.95,1.00 (0.20-1.79),73,96.05,2.86 (2.53-3.19)
oligodendrocytes 2,921.0,0.104,7.0,200,6,3.0,2.96 (2.29-3.63),194,97.0,3.64 (3.37-3.92)
