tipo_celular,module_size,MIA2_MM,MIA2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,401.0,0.079,5.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24)
T cells 18,393.0,0.113,22.0,59,2,3.39,4.04 (4.00-4.08),57,96.61,3.07 (2.55-3.59)
astrocytes 5,1141.0,0.142,67.0,166,6,3.61,2.36 (0.64-4.09),160,96.39,3.44 (3.19-3.69)
oligodendrocyte progenitor cells 7,4285.0,0.181,98.0,353,27,7.65,2.50 (1.91-3.09),326,92.35,4.04 (3.85-4.23)
GABA neurons expressing GLU receptors 22,823.0,0.298,95.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12)
GLU like neurons 17,1316.0,0.07,8.0,101,1,0.99,4.19 (NA-NA),100,99.01,3.04 (2.68-3.39)
da like neurons 11,265.0,0.09,10.0,4,1,25.0,2.74 (NA-NA),3,75.0,1.47 (-0.90-3.84)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,658.0,0.137,25.0,120,3,2.5,3.34 (1.93-4.76),117,97.5,4.64 (4.32-4.97)
oligodendrocytes 20,938.0,0.103,39.0,169,12,7.1,2.88 (2.05-3.71),157,92.9,3.54 (3.31-3.76)
GABA like neurons 14,3052.0,0.112,27.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,603.0,0.033,5.0,89,0,0.0,NA,89,100.0,2.76 (2.41-3.11)
oligodendrocyte progenitor cells 12,3303.0,0.049,15.0,276,18,6.52,3.13 (2.55-3.71),258,93.48,3.58 (3.35-3.81)
oligodendrocytes 10,2107.0,0.183,64.0,358,24,6.7,2.54 (1.89-3.19),334,93.3,3.99 (3.80-4.19)
connective tissue cells 21,111.0,0.237,25.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,268.0,0.036,8.0,10,1,10.0,2.74 (NA-NA),9,90.0,3.83 (1.90-5.76)
oligodendrocytes 16,69.0,0.291,93.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,78.0,0.237,7.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,787.0,0.165,74.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,2078.0,0.118,57.0,238,8,3.36,3.25 (2.12-4.37),230,96.64,3.65 (3.43-3.88)
microglia 1,1615.0,0.148,88.0,161,14,8.7,1.59 (0.83-2.34),147,91.3,3.47 (3.21-3.74)
oligodendrocytes 3,681.0,0.075,31.0,87,4,4.6,0.89 (0.20-1.58),83,95.4,2.67 (2.40-2.94)
oligodendrocytes 2,1630.0,0.114,8.0,154,1,0.65,5.02 (NA-NA),153,99.35,3.23 (2.97-3.50)
