tipo_celular,module_size,POM121C_MM,POM121C_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,211.0,0.18,55.0,47,1,2.13,NA,46,97.87,2.59 (2.10-3.08)
T cells 18,727.0,0.163,64.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82)
astrocytes 5,932.0,0.072,4.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,4285.0,0.134,49.0,353,48,13.6,3.11 (2.55-3.66),305,86.4,4.04 (3.84-4.23)
GABA neurons expressing GLU receptors 22,599.0,0.241,66.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03)
GLU like neurons 17,1247.0,0.187,79.0,51,2,3.92,2.04 (1.96-2.12),49,96.08,3.70 (3.11-4.30)
da like neurons 11,109.0,0.191,39.0,1,0,0.0,NA,1,100.0,1.71 (NA-NA)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.081,15.0,297,9,3.03,5.04 (4.38-5.69),288,96.97,3.63 (3.42-3.84)
oligodendrocytes 20,322.0,0.239,86.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43)
GABA like neurons 14,2090.0,0.117,24.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,283.0,0.091,22.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.069,38.0,276,32,11.59,2.84 (2.38-3.31),244,88.41,3.64 (3.40-3.88)
oligodendrocytes 10,2107.0,0.066,12.0,358,45,12.57,3.22 (2.62-3.82),313,87.43,3.97 (3.77-4.17)
connective tissue cells 21,88.0,0.322,64.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1401.0,0.035,6.0,96,3,3.12,2.86 (1.17-4.54),93,96.88,3.63 (3.17-4.09)
oligodendrocytes 16,122.0,0.206,50.0,11,0,0.0,NA,11,100.0,3.57 (3.08-4.06)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,157.0,0.276,33.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,721.0,0.147,42.0,61,2,3.28,4.52 (4.52-4.52),59,96.72,2.91 (2.49-3.33)
oligodendrocytes 0,2078.0,0.116,53.0,238,19,7.98,4.47 (3.59-5.35),219,92.02,3.57 (3.34-3.79)
microglia 1,958.0,0.074,4.0,290,25,8.62,4.45 (3.91-4.99),265,91.38,3.75 (3.50-3.99)
oligodendrocytes 3,854.0,0.062,17.0,76,5,6.58,3.35 (1.29-5.42),71,93.42,2.74 (2.42-3.07)
oligodendrocytes 2,921.0,0.106,9.0,200,28,14.0,4.28 (3.69-4.88),172,86.0,3.52 (3.23-3.81)
