tipo_celular,module_size,ACSL3_MM,ACSL3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,360,0.21,60.0,102,23,22.55,2.19 (1.71-2.67),79,77.45,3.86 (3.45-4.27)
T cells 18,282,0.165,52.0,241,17,7.05,4.12 (3.64-4.61),224,92.95,4.05 (3.77-4.32)
astrocytes 5,423,0.219,81.0,80,5,6.25,3.85 (2.01-5.68),75,93.75,3.37 (2.88-3.87)
oligodendrocyte progenitor cells 7,448,0.183,77.0,108,2,1.85,3.55 (NA-NA),106,98.15,3.25 (2.81-3.70)
GABA neurons expressing GLU receptors 22,487,0.325,82.0,73,4,5.48,1.92 (1.06-2.78),69,94.52,2.81 (2.41-3.21)
GLU like neurons 17,685,0.132,52.0,135,26,19.26,2.42 (1.76-3.08),109,80.74,3.38 (3.05-3.72)
da like neurons 11,59,0.32,68.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,265,0.136,37.0,78,18,23.08,3.97 (3.21-4.73),60,76.92,4.52 (4.03-5.01)
endothelial cells 9,586,0.17,40.0,62,5,8.06,2.90 (2.44-3.36),57,91.94,4.12 (3.65-4.58)
oligodendrocytes 20,271,0.157,41.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99)
GABA like neurons 14,2402,0.376,77.0,455,53,11.65,3.36 (2.85-3.87),402,88.35,4.52 (4.33-4.71)
astrocytes 8,577,0.208,94.0,83,6,7.23,2.20 (1.25-3.15),77,92.77,3.34 (2.86-3.81)
oligodendrocyte progenitor cells 12,138,0.505,73.0,5,1,20.0,NA,4,80.0,4.33 (4.33-4.33)
oligodendrocytes 10,806,0.223,68.0,261,27,10.34,3.50 (2.95-4.04),234,89.66,4.50 (4.24-4.77)
connective tissue cells 21,111,0.277,44.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,261,0.174,63.0,8,3,37.5,1.32 (-0.64-3.28),5,62.5,5.45 (3.66-7.23)
oligodendrocytes 16,313,0.153,21.0,291,32,11.0,3.83 (3.31-4.36),259,89.0,4.40 (4.16-4.65)
da neurons 6,518,0.215,97.0,122,34,27.87,2.90 (2.40-3.41),88,72.13,4.61 (4.13-5.10)
astrocytes microglia 23,166,0.171,7.0,7,2,28.57,2.53 (2.34-2.73),5,71.43,5.03 (4.70-5.36)
astrocytes 4,514,0.292,84.0,95,12,12.63,3.54 (1.98-5.11),83,87.37,3.35 (2.91-3.78)
oligodendrocytes 0,1186,0.165,83.0,300,4,1.33,2.66 (2.07-3.25),296,98.67,3.81 (3.60-4.01)
microglia 1,958,0.13,76.0,290,29,10.0,3.28 (2.60-3.96),261,90.0,3.89 (3.65-4.13)
oligodendrocytes 3,1003,0.111,65.0,111,2,1.8,5.76 (3.97-7.55),109,98.2,3.25 (2.91-3.59)
oligodendrocytes 2,804,0.145,43.0,84,7,8.33,1.33 (0.67-1.99),77,91.67,2.82 (2.48-3.17)
