tipo_celular,module_size,ZBTB16_MM,ZBTB16_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395.0,0.232,82.0,97,0,0.0,NA,97,100.0,3.06 (2.66-3.45)
T cells 18,393.0,0.325,90.0,59,2,3.39,3.21 (2.29-4.12),57,96.61,3.10 (2.58-3.62)
astrocytes 5,118.0,0.208,42.0,8,0,0.0,NA,8,100.0,4.18 (2.41-5.94)
oligodendrocyte progenitor cells 7,448.0,0.103,21.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69)
GABA neurons expressing GLU receptors 22,567.0,0.24,68.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70)
GLU like neurons 17,637.0,0.344,87.0,91,15,16.48,2.09 (1.15-3.02),76,83.52,5.24 (4.77-5.71)
da like neurons 11,408.0,0.36,80.0,25,6,24.0,1.31 (0.53-2.09),19,76.0,6.03 (4.79-7.27)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.26,99.0,297,2,0.67,NA,295,99.33,3.67 (3.47-3.88)
oligodendrocytes 20,676.0,0.489,78.0,110,12,10.91,2.70 (1.83-3.58),98,89.09,5.37 (4.93-5.81)
GABA like neurons 14,1300.0,0.054,3.0,306,18,5.88,2.88 (2.16-3.60),288,94.12,5.30 (5.04-5.57)
astrocytes 8,279.0,0.272,47.0,78,13,16.67,3.21 (2.33-4.10),65,83.33,4.53 (4.09-4.98)
oligodendrocyte progenitor cells 12,254.0,0.351,69.0,37,6,16.22,3.59 (2.88-4.30),31,83.78,4.71 (4.04-5.39)
oligodendrocytes 10,130.0,0.401,51.0,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,147.0,0.356,93.0,4,0,0.0,NA,4,100.0,5.34 (4.88-5.80)
astrocytes 15,208.0,0.198,53.0,4,1,25.0,4.85 (NA-NA),3,75.0,2.25 (-0.30-4.81)
oligodendrocytes 16,153.0,0.293,31.0,14,0,0.0,NA,14,100.0,4.67 (3.94-5.40)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,59.0,0.377,82.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,255.0,0.272,91.0,12,1,8.33,NA,11,91.67,4.62 (3.76-5.48)
oligodendrocytes 0,613.0,0.206,92.0,127,19,14.96,2.38 (1.91-2.86),108,85.04,3.22 (2.72-3.71)
microglia 1,958.0,0.18,96.0,290,15,5.17,2.70 (1.91-3.50),275,94.83,3.88 (3.64-4.11)
oligodendrocytes 3,681.0,0.248,99.0,87,54,62.07,2.44 (2.14-2.74),33,37.93,2.86 (2.32-3.39)
oligodendrocytes 2,407.0,0.204,87.0,122,60,49.18,2.33 (2.04-2.63),62,50.82,4.99 (4.40-5.59)
