tipo_celular,module_size,CDK14_MM,CDK14_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,401.0,0.195,73.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,322.0,0.149,40.0,58,8,13.79,2.62 (1.98-3.25),50,86.21,4.48 (4.04-4.91)
oligodendrocyte progenitor cells 7,436.0,0.068,12.0,219,0,0.0,NA,219,100.0,5.21 (4.92-5.50)
GABA neurons expressing GLU receptors 22,192.0,0.16,66.0,55,0,0.0,NA,55,100.0,4.03 (3.61-4.44)
GLU like neurons 17,795.0,0.177,70.0,80,4,5.0,3.30 (2.43-4.17),76,95.0,5.86 (5.46-6.26)
da like neurons 11,109.0,0.473,100.0,1,0,0.0,NA,1,100.0,1.71 (NA-NA)
GABA neurons expressing GABA receptors 13,200.0,0.189,74.0,34,2,5.88,3.53 (3.29-3.77),32,94.12,3.92 (2.96-4.88)
endothelial cells 9,586.0,0.414,82.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49)
oligodendrocytes 20,322.0,0.154,63.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43)
GABA like neurons 14,1300.0,0.135,18.0,306,23,7.52,2.67 (2.16-3.17),283,92.48,5.40 (5.14-5.66)
astrocytes 8,283.0,0.32,98.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,411.0,0.327,77.0,103,0,0.0,NA,103,100.0,5.55 (5.16-5.93)
oligodendrocytes 10,806.0,0.199,63.0,261,1,0.38,1.29 (NA-NA),260,99.62,4.38 (4.14-4.62)
connective tissue cells 21,69.0,0.276,45.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,1768.0,0.109,70.0,105,14,13.33,2.46 (1.60-3.31),91,86.67,3.34 (2.98-3.70)
oligodendrocytes 16,149.0,0.258,65.0,70,0,0.0,NA,70,100.0,5.65 (5.18-6.12)
da neurons 6,553.0,0.188,81.0,124,3,2.42,2.29 (0.34-4.24),121,97.58,4.25 (3.85-4.64)
astrocytes microglia 23,190.0,0.268,52.0,7,3,42.86,3.92 (3.20-4.64),4,57.14,5.76 (4.31-7.21)
astrocytes 4,752.0,0.153,48.0,96,5,5.21,3.99 (3.51-4.47),91,94.79,3.24 (2.89-3.59)
oligodendrocytes 0,1186.0,0.098,4.0,300,13,4.33,3.60 (3.28-3.91),287,95.67,3.80 (3.59-4.02)
microglia 1,346.0,0.292,91.0,43,0,0.0,NA,43,100.0,3.77 (3.26-4.27)
oligodendrocytes 3,94.0,0.141,67.0,7,0,0.0,NA,7,100.0,5.62 (2.52-8.73)
oligodendrocytes 2,347.0,0.334,91.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63)
