tipo_celular,module_size,ARL13B_MM,ARL13B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395.0,0.112,17.0,97,1,1.03,2.86 (NA-NA),96,98.97,3.06 (2.66-3.45)
T cells 18,624.0,0.099,13.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48)
astrocytes 5,1656.0,0.112,44.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48)
oligodendrocyte progenitor cells 7,4285.0,0.129,41.0,353,23,6.52,2.17 (1.63-2.71),330,93.48,4.04 (3.85-4.23)
GABA neurons expressing GLU receptors 22,400.0,0.235,71.0,24,12,50.0,2.14 (1.37-2.90),12,50.0,2.17 (1.46-2.88)
GLU like neurons 17,380.0,0.145,30.0,39,2,5.13,2.93 (0.60-5.26),37,94.87,2.97 (2.39-3.54)
da like neurons 11,289.0,0.161,39.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,412.0,0.093,14.0,141,3,2.13,0.90 (0.75-1.04),138,97.87,3.01 (2.77-3.25)
oligodendrocytes 20,279.0,0.354,85.0,16,1,6.25,3.48 (NA-NA),15,93.75,2.30 (1.52-3.09)
GABA like neurons 14,3052.0,0.106,22.0,125,3,2.4,4.27 (3.72-4.82),122,97.6,3.32 (2.99-3.65)
astrocytes 8,354.0,0.086,25.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47)
oligodendrocyte progenitor cells 12,3303.0,0.111,83.0,276,10,3.62,2.23 (1.39-3.07),266,96.38,3.60 (3.38-3.82)
oligodendrocytes 10,2107.0,0.087,21.0,358,21,5.87,1.95 (1.37-2.53),337,94.13,4.02 (3.83-4.21)
connective tissue cells 21,110.0,0.237,34.0,13,2,15.38,3.90 (3.48-4.33),11,84.62,2.97 (2.01-3.93)
astrocytes 15,367.0,0.141,47.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04)
oligodendrocytes 16,64.0,0.103,4.0,1,0,0.0,NA,1,100.0,2.12 (NA-NA)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,52.0,0.352,73.0,1,1,100.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.129,23.0,104,6,5.77,2.19 (0.93-3.46),98,94.23,2.91 (2.62-3.19)
oligodendrocytes 0,2078.0,0.122,65.0,238,3,1.26,1.48 (0.22-2.73),235,98.74,3.67 (3.45-3.89)
microglia 1,958.0,0.093,22.0,290,12,4.14,2.41 (1.73-3.09),278,95.86,3.89 (3.66-4.13)
oligodendrocytes 3,854.0,0.093,54.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14)
oligodendrocytes 2,804.0,0.121,15.0,84,6,7.14,1.78 (0.80-2.76),78,92.86,2.78 (2.43-3.13)
