tipo_celular,module_size,KDM2B_MM,KDM2B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500.0,0.155,44.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50)
T cells 18,518.0,0.096,11.0,131,5,3.82,3.84 (2.99-4.69),126,96.18,3.04 (2.76-3.32)
astrocytes 5,932.0,0.109,50.0,80,2,2.5,4.37 (4.37-4.37),78,97.5,3.65 (3.23-4.07)
oligodendrocyte progenitor cells 7,4285.0,0.087,4.0,353,60,17.0,2.23 (1.92-2.53),293,83.0,4.35 (4.17-4.53)
GABA neurons expressing GLU receptors 22,714.0,0.167,41.0,17,5,29.41,2.70 (2.17-3.23),12,70.59,2.15 (1.35-2.94)
GLU like neurons 17,1247.0,0.23,91.0,51,1,1.96,4.07 (NA-NA),50,98.04,3.61 (3.02-4.21)
da like neurons 11,265.0,0.241,71.0,4,0,0.0,NA,4,100.0,1.89 (0.29-3.49)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.078,12.0,297,5,1.68,4.20 (3.31-5.09),292,98.32,3.66 (3.45-3.87)
oligodendrocytes 20,348.0,0.049,21.0,33,3,9.09,3.21 (2.68-3.74),30,90.91,2.68 (2.15-3.22)
GABA like neurons 14,2090.0,0.32,99.0,74,19,25.68,2.59 (2.16-3.01),55,74.32,3.08 (2.59-3.57)
astrocytes 8,260.0,0.119,48.0,4,3,75.0,1.99 (0.00-3.99),1,25.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.048,13.0,276,44,15.94,2.12 (1.82-2.42),232,84.06,3.91 (3.67-4.14)
oligodendrocytes 10,2107.0,0.129,42.0,358,68,18.99,2.30 (1.99-2.61),290,81.01,4.39 (4.20-4.57)
connective tissue cells 21,96.0,0.306,66.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,208.0,0.113,48.0,4,1,25.0,4.85 (NA-NA),3,75.0,2.25 (-0.30-4.81)
oligodendrocytes 16,94.0,0.235,69.0,5,2,40.0,3.72 (3.59-3.84),3,60.0,2.06 (0.32-3.80)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,101.0,0.277,28.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,787.0,0.107,2.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,479.0,0.12,22.0,40,2,5.0,4.03 (3.36-4.70),38,95.0,5.99 (5.47-6.51)
microglia 1,1615.0,0.107,46.0,161,53,32.92,2.15 (1.83-2.48),108,67.08,4.02 (3.73-4.32)
oligodendrocytes 3,357.0,0.083,41.0,127,4,3.15,3.63 (2.49-4.78),123,96.85,3.10 (2.76-3.44)
oligodendrocytes 2,407.0,0.155,51.0,122,57,46.72,2.36 (2.02-2.69),65,53.28,4.69 (4.11-5.27)
