tipo_celular,module_size,RPS11_MM,RPS11_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185.0,0.491,91.0,98,36,36.73,3.07 (2.47-3.68),62,63.27,3.31 (2.62-3.99)
T cells 18,506.0,0.364,82.0,225,38,16.89,3.14 (2.56-3.71),187,83.11,3.72 (3.44-3.99)
astrocytes 5,328.0,0.288,86.0,128,10,7.81,3.74 (3.22-4.25),118,92.19,3.55 (3.17-3.93)
oligodendrocyte progenitor cells 7,448.0,0.319,92.0,108,13,12.04,4.20 (3.33-5.07),95,87.96,3.11 (2.63-3.59)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.204,58.0,410,27,6.59,3.32 (2.73-3.91),383,93.41,4.31 (4.12-4.51)
GABA neurons expressing GABA receptors 13,67.0,0.136,23.0,21,0,0.0,NA,21,100.0,2.46 (1.84-3.08)
endothelial cells 9,916.0,0.539,95.0,302,20,6.62,3.69 (2.82-4.56),282,93.38,4.00 (3.77-4.24)
oligodendrocytes 20,938.0,0.145,59.0,169,32,18.93,3.41 (2.76-4.07),137,81.07,3.50 (3.27-3.72)
GABA like neurons 14,2402.0,0.479,87.0,455,49,10.77,2.54 (2.02-3.05),406,89.23,4.60 (4.42-4.78)
astrocytes 8,603.0,0.195,90.0,89,20,22.47,2.69 (2.07-3.30),69,77.53,2.79 (2.36-3.23)
oligodendrocyte progenitor cells 12,1049.0,0.361,94.0,235,24,10.21,3.88 (3.24-4.52),211,89.79,3.82 (3.57-4.07)
oligodendrocytes 10,483.0,0.344,86.0,129,19,14.73,4.22 (3.58-4.85),110,85.27,3.29 (2.85-3.73)
connective tissue cells 21,301.0,0.237,12.0,158,20,12.66,3.27 (2.44-4.10),138,87.34,4.45 (4.06-4.85)
astrocytes 15,1401.0,0.032,5.0,96,5,5.21,2.61 (0.57-4.66),91,94.79,3.65 (3.19-4.11)
oligodendrocytes 16,96.0,0.335,90.0,102,44,43.14,2.69 (2.16-3.22),58,56.86,3.84 (3.47-4.21)
da neurons 6,729.0,0.158,53.0,182,24,13.19,3.31 (2.58-4.04),158,86.81,3.69 (3.42-3.96)
astrocytes microglia 23,137.0,0.591,98.0,188,40,21.28,2.70 (2.18-3.22),148,78.72,4.99 (4.64-5.35)
astrocytes 4,208.0,0.166,32.0,173,14,8.09,3.98 (3.14-4.83),159,91.91,3.78 (3.46-4.10)
oligodendrocytes 0,546.0,0.251,80.0,252,49,19.44,2.60 (2.08-3.12),203,80.56,4.50 (4.26-4.75)
microglia 1,406.0,0.557,95.0,278,11,3.96,4.12 (3.23-5.01),267,96.04,4.37 (4.09-4.66)
oligodendrocytes 3,303.0,0.212,76.0,154,15,9.74,4.24 (3.44-5.04),139,90.26,3.55 (3.21-3.89)
oligodendrocytes 2,526.0,0.354,76.0,213,11,5.16,4.12 (3.23-5.01),202,94.84,3.97 (3.68-4.26)
