tipo_celular,module_size,CNOT10_MM,CNOT10_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,184.0,0.257,76.0,21,1,4.76,0.26 (NA-NA),20,95.24,2.41 (1.78-3.03)
T cells 18,727.0,0.188,81.0,49,1,2.04,3.05 (NA-NA),48,97.96,2.41 (2.01-2.82)
astrocytes 5,932.0,0.088,18.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,4285.0,0.128,38.0,353,54,15.3,3.12 (2.64-3.59),299,84.7,4.08 (3.89-4.27)
GABA neurons expressing GLU receptors 22,714.0,0.231,74.0,17,0,0.0,NA,17,100.0,2.31 (1.72-2.89)
GLU like neurons 17,229.0,0.256,84.0,22,0,0.0,NA,22,100.0,2.52 (1.91-3.13)
da like neurons 11,289.0,0.195,55.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.087,17.0,297,3,1.01,5.64 (5.34-5.94),294,98.99,3.65 (3.44-3.85)
oligodendrocytes 20,938.0,0.042,8.0,169,8,4.73,2.41 (1.22-3.59),161,95.27,3.55 (3.33-3.76)
GABA like neurons 14,3052.0,0.183,84.0,125,1,0.8,5.57 (NA-NA),124,99.2,3.33 (3.01-3.65)
astrocytes 8,354.0,0.08,23.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47)
oligodendrocyte progenitor cells 12,3303.0,0.027,2.0,276,39,14.13,2.45 (2.02-2.89),237,85.87,3.79 (3.56-4.02)
oligodendrocytes 10,2107.0,0.099,28.0,358,63,17.6,3.07 (2.63-3.52),295,82.4,4.11 (3.91-4.31)
connective tissue cells 21,136.0,0.28,49.0,3,0,0.0,NA,3,100.0,0.26 (NA-NA)
astrocytes 15,1401.0,0.025,2.0,96,4,4.17,2.34 (1.47-3.22),92,95.83,3.68 (3.21-4.15)
oligodendrocytes 16,94.0,0.183,34.0,5,0,0.0,NA,5,100.0,2.89 (1.71-4.06)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,134.0,0.209,4.0,2,1,50.0,3.34 (NA-NA),1,50.0,0.82 (NA-NA)
astrocytes 4,787.0,0.142,33.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,2078.0,0.126,74.0,238,23,9.66,4.21 (3.52-4.89),215,90.34,3.56 (3.33-3.79)
microglia 1,1615.0,0.081,10.0,161,36,22.36,2.14 (1.77-2.50),125,77.64,3.70 (3.40-4.00)
oligodendrocytes 3,1003.0,0.069,19.0,111,13,11.71,5.20 (4.63-5.77),98,88.29,3.02 (2.68-3.37)
oligodendrocytes 2,1630.0,0.117,10.0,154,2,1.3,2.74 (2.69-2.78),152,98.7,3.25 (2.98-3.52)
