tipo_celular,module_size,PPP1R10_MM,PPP1R10_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,159.0,0.262,78.0,18,0,0.0,NA,18,100.0,2.04 (1.57-2.51)
T cells 18,506.0,0.124,20.0,225,17,7.56,2.61 (1.98-3.24),208,92.44,3.73 (3.46-3.99)
astrocytes 5,1656.0,0.125,65.0,136,3,2.21,2.44 (0.38-4.51),133,97.79,3.23 (2.95-3.50)
oligodendrocyte progenitor cells 7,666.0,0.18,60.0,127,17,13.39,2.36 (1.91-2.80),110,86.61,4.20 (3.84-4.55)
GABA neurons expressing GLU receptors 22,567.0,0.247,71.0,16,4,25.0,2.47 (2.02-2.92),12,75.0,1.77 (0.87-2.68)
GLU like neurons 17,795.0,0.101,30.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09)
da like neurons 11,97.0,0.173,48.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,412.0,0.162,43.0,141,9,6.38,2.39 (1.52-3.25),132,93.62,3.00 (2.76-3.25)
oligodendrocytes 20,676.0,0.034,10.0,110,10,9.09,2.12 (1.21-3.02),100,90.91,5.37 (4.95-5.78)
GABA like neurons 14,2402.0,0.14,21.0,455,35,7.69,2.28 (1.82-2.74),420,92.31,4.59 (4.41-4.77)
astrocytes 8,262.0,0.113,37.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74)
oligodendrocyte progenitor cells 12,3303.0,0.059,25.0,276,52,18.84,2.45 (2.13-2.77),224,81.16,3.87 (3.63-4.12)
oligodendrocytes 10,2107.0,0.043,4.0,358,83,23.18,2.53 (2.24-2.82),275,76.82,4.43 (4.23-4.62)
connective tissue cells 21,118.0,0.283,41.0,2,0,0.0,NA,2,100.0,6.60 (NA-NA)
astrocytes 15,1401.0,0.128,81.0,96,11,11.46,2.53 (1.81-3.25),85,88.54,3.77 (3.28-4.26)
oligodendrocytes 16,71.0,0.215,75.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,61.0,0.298,35.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.174,94.0,104,25,24.04,1.95 (1.48-2.42),79,75.96,3.17 (2.86-3.48)
oligodendrocytes 0,613.0,0.127,34.0,127,21,16.54,2.72 (2.32-3.13),106,83.46,3.15 (2.63-3.68)
microglia 1,958.0,0.095,25.0,290,43,14.83,3.39 (2.93-3.85),247,85.17,3.90 (3.65-4.16)
oligodendrocytes 3,681.0,0.071,26.0,87,33,37.93,1.93 (1.63-2.23),54,62.07,3.02 (2.66-3.38)
oligodendrocytes 2,1630.0,0.113,8.0,154,4,2.6,3.03 (2.40-3.66),150,97.4,3.25 (2.98-3.52)
