tipo_celular,module_size,KDM5C_MM,KDM5C_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185.0,0.063,0.0,98,5,5.1,1.31 (0.93-1.69),93,94.9,3.36 (2.88-3.85)
T cells 18,624.0,0.173,67.0,142,1,0.7,4.27 (NA-NA),141,99.3,3.20 (2.93-3.47)
astrocytes 5,1656.0,0.096,21.0,136,4,2.94,1.58 (1.21-1.95),132,97.06,3.26 (2.99-3.54)
oligodendrocyte progenitor cells 7,4285.0,0.117,24.0,353,54,15.3,2.13 (1.82-2.44),299,84.7,4.33 (4.15-4.50)
GABA neurons expressing GLU receptors 22,703.0,0.249,84.0,23,2,8.7,1.85 (0.53-3.17),21,91.3,2.12 (1.34-2.89)
GLU like neurons 17,1316.0,0.081,13.0,101,1,0.99,2.53 (NA-NA),100,99.01,3.06 (2.70-3.41)
da like neurons 11,853.0,0.086,14.0,133,49,36.84,2.35 (2.01-2.70),84,63.16,3.94 (3.53-4.36)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.058,2.0,297,5,1.68,3.57 (2.51-4.64),292,98.32,3.68 (3.47-3.88)
oligodendrocytes 20,348.0,0.083,39.0,33,3,9.09,3.21 (2.68-3.74),30,90.91,2.68 (2.15-3.22)
GABA like neurons 14,2090.0,0.098,13.0,74,14,18.92,2.28 (1.93-2.64),60,81.08,3.11 (2.66-3.56)
astrocytes 8,47.0,0.026,3.0,76,1,1.32,4.47 (NA-NA),75,98.68,4.02 (3.71-4.33)
oligodendrocyte progenitor cells 12,3303.0,0.06,27.0,276,38,13.77,2.01 (1.75-2.27),238,86.23,3.88 (3.65-4.11)
oligodendrocytes 10,735.0,0.067,26.0,277,1,0.36,4.47 (NA-NA),276,99.64,3.89 (3.65-4.13)
connective tissue cells 21,152.0,0.135,4.0,21,0,0.0,NA,21,100.0,5.18 (3.84-6.52)
astrocytes 15,1768.0,0.068,31.0,105,19,18.1,1.70 (1.33-2.06),86,81.9,3.58 (3.22-3.94)
oligodendrocytes 16,65.0,0.128,15.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,99.0,0.235,16.0,3,0,0.0,NA,3,100.0,1.85 (0.77-2.94)
astrocytes 4,1807.0,0.17,90.0,104,23,22.12,1.73 (1.37-2.10),81,77.88,3.22 (2.91-3.53)
oligodendrocytes 0,2078.0,0.141,94.0,238,15,6.3,2.84 (2.24-3.44),223,93.7,3.70 (3.47-3.93)
microglia 1,958.0,0.108,45.0,290,14,4.83,2.58 (1.82-3.33),276,95.17,3.89 (3.66-4.13)
oligodendrocytes 3,1003.0,0.045,3.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,1630.0,0.148,63.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
