tipo_celular,module_size,AKT2_MM,AKT2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,211.0,0.074,5.0,47,0,0.0,NA,47,100.0,2.59 (2.10-3.08)
T cells 18,727.0,0.147,54.0,49,1,2.04,2.53 (NA-NA),48,97.96,2.43 (2.02-2.83)
astrocytes 5,932.0,0.138,84.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,4285.0,0.111,18.0,353,60,17.0,2.56 (2.20-2.93),293,83.0,4.27 (4.08-4.45)
GABA neurons expressing GLU receptors 22,1069.0,0.158,45.0,37,1,2.7,2.74 (NA-NA),36,97.3,2.14 (1.67-2.60)
GLU like neurons 17,1247.0,0.076,12.0,51,3,5.88,2.62 (1.48-3.76),48,94.12,3.70 (3.09-4.31)
da like neurons 11,853.0,0.202,83.0,133,35,26.32,2.31 (1.87-2.75),98,73.68,3.68 (3.30-4.05)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.115,40.0,297,4,1.35,3.05 (2.62-3.47),293,98.65,3.68 (3.48-3.89)
oligodendrocytes 20,295.0,0.384,92.0,28,0,0.0,NA,28,100.0,2.19 (1.73-2.65)
GABA like neurons 14,2090.0,0.232,91.0,74,3,4.05,2.56 (1.82-3.29),71,95.95,2.96 (2.57-3.35)
astrocytes 8,1266.0,0.104,69.0,66,23,34.85,2.34 (1.75-2.92),43,65.15,3.83 (3.34-4.32)
oligodendrocyte progenitor cells 12,411.0,0.077,40.0,103,3,2.91,3.60 (2.69-4.50),100,97.09,5.62 (5.23-6.01)
oligodendrocytes 10,2107.0,0.063,10.0,358,59,16.48,2.34 (2.02-2.66),299,83.52,4.30 (4.10-4.49)
connective tissue cells 21,84.0,0.388,93.0,4,3,75.0,4.34 (4.07-4.60),1,25.0,NA
astrocytes 15,1768.0,0.028,2.0,105,25,23.81,2.15 (1.72-2.58),80,76.19,3.58 (3.19-3.97)
oligodendrocytes 16,69.0,0.189,31.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,83.0,0.312,50.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,721.0,0.203,100.0,61,1,1.64,4.07 (NA-NA),60,98.36,2.95 (2.53-3.36)
oligodendrocytes 0,2078.0,0.132,86.0,238,14,5.88,2.80 (2.18-3.41),224,94.12,3.70 (3.47-3.93)
microglia 1,1615.0,0.085,15.0,161,45,27.95,2.27 (1.89-2.64),116,72.05,3.79 (3.49-4.10)
oligodendrocytes 3,854.0,0.062,16.0,76,10,13.16,3.34 (2.39-4.28),66,86.84,2.69 (2.34-3.03)
oligodendrocytes 2,407.0,0.121,14.0,122,39,31.97,2.22 (1.79-2.66),83,68.03,4.09 (3.60-4.58)
