tipo_celular,module_size,ANO10_MM,ANO10_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,351,0.156,52.0,71,1,1.41,0.21 (NA-NA),70,98.59,2.66 (2.25-3.07)
T cells 18,282,0.079,10.0,241,2,0.83,2.60 (2.60-2.60),239,99.17,4.07 (3.82-4.33)
astrocytes 5,1141,0.111,23.0,166,2,1.2,0.38 (0.04-0.71),164,98.8,3.44 (3.19-3.68)
oligodendrocyte progenitor cells 7,4285,0.126,36.0,353,7,1.98,0.62 (0.16-1.08),346,98.02,3.98 (3.80-4.16)
GABA neurons expressing GLU receptors 22,1069,0.241,91.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,1247,0.113,34.0,51,2,3.92,2.04 (1.96-2.12),49,96.08,3.70 (3.11-4.30)
da like neurons 11,289,0.25,77.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24)
GABA neurons expressing GABA receptors 13,417,0.102,9.0,213,12,5.63,1.35 (0.75-1.95),201,94.37,3.94 (3.71-4.18)
endothelial cells 9,1653,0.159,73.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,403,0.165,66.0,18,4,22.22,0.46 (0.38-0.54),14,77.78,2.28 (1.54-3.03)
GABA like neurons 14,1300,0.241,66.0,306,14,4.58,2.64 (2.08-3.20),292,95.42,5.27 (5.01-5.53)
astrocytes 8,354,0.181,80.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47)
oligodendrocyte progenitor cells 12,3303,0.124,91.0,276,3,1.09,2.05 (2.00-2.10),273,98.91,3.56 (3.34-3.78)
oligodendrocytes 10,2107,0.059,8.0,358,6,1.68,0.39 (0.28-0.50),352,98.32,3.94 (3.75-4.13)
connective tissue cells 21,93,0.294,57.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA)
astrocytes 15,1768,0.061,24.0,105,1,0.95,0.21 (NA-NA),104,99.05,3.24 (2.91-3.58)
oligodendrocytes 16,87,0.312,97.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,409,0.081,16.0,235,0,0.0,NA,235,100.0,3.97 (3.72-4.22)
astrocytes microglia 23,103,0.178,1.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,752,0.129,17.0,96,0,0.0,NA,96,100.0,3.29 (2.96-3.62)
oligodendrocytes 0,1186,0.101,5.0,300,1,0.33,2.06 (NA-NA),299,99.67,3.80 (3.59-4.01)
microglia 1,813,0.097,25.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50)
oligodendrocytes 3,854,0.1,61.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14)
oligodendrocytes 2,347,0.164,33.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63)
