tipo_celular,module_size,CCT4_MM,CCT4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185.0,0.254,75.0,17,1,5.88,NA,16,94.12,1.90 (1.29-2.52)
T cells 18,477.0,0.19,68.0,43,1,2.33,8.28 (NA-NA),42,97.67,1.85 (1.47-2.22)
astrocytes 5,423.0,0.098,12.0,80,3,3.75,4.76 (0.65-8.86),77,96.25,3.34 (2.88-3.80)
oligodendrocyte progenitor cells 7,666.0,0.264,87.0,127,21,16.54,3.56 (2.40-4.72),106,83.46,3.89 (3.56-4.22)
GABA neurons expressing GLU receptors 22,1069.0,0.189,67.0,37,1,2.7,1.52 (NA-NA),36,97.3,2.18 (1.71-2.64)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.114,21.0,410,55,13.41,4.51 (3.82-5.21),355,86.59,4.22 (4.02-4.41)
GABA neurons expressing GABA receptors 13,417.0,0.097,7.0,213,33,15.49,2.29 (1.56-3.01),180,84.51,4.06 (3.84-4.29)
endothelial cells 9,385.0,0.161,83.0,275,106,38.55,3.26 (2.79-3.72),169,61.45,4.42 (4.15-4.70)
oligodendrocytes 20,221.0,0.203,53.0,12,0,0.0,NA,12,100.0,2.42 (0.83-4.00)
GABA like neurons 14,2402.0,0.207,44.0,455,64,14.07,3.25 (2.64-3.86),391,85.93,4.53 (4.35-4.72)
astrocytes 8,577.0,0.092,55.0,83,5,6.02,3.57 (0.91-6.24),78,93.98,3.23 (2.78-3.67)
oligodendrocyte progenitor cells 12,1049.0,0.082,43.0,235,21,8.94,5.23 (4.36-6.10),214,91.06,3.74 (3.51-3.98)
oligodendrocytes 10,483.0,0.135,56.0,129,3,2.33,5.50 (2.77-8.23),126,97.67,3.36 (2.97-3.75)
connective tissue cells 21,73.0,0.258,44.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1401.0,0.048,15.0,96,17,17.71,3.52 (2.68-4.37),79,82.29,3.64 (3.11-4.16)
oligodendrocytes 16,113.0,0.227,88.0,11,0,0.0,NA,11,100.0,1.74 (0.78-2.71)
da neurons 6,409.0,0.166,68.0,235,55,23.4,4.74 (4.11-5.37),180,76.6,3.79 (3.52-4.05)
astrocytes microglia 23,78.0,0.262,16.0,3,0,0.0,NA,3,100.0,0.39 (0.24-0.54)
astrocytes 4,514.0,0.2,59.0,95,8,8.42,3.84 (1.73-5.95),87,91.58,3.31 (2.91-3.71)
oligodendrocytes 0,613.0,0.17,73.0,127,46,36.22,3.03 (2.46-3.59),81,63.78,3.06 (2.52-3.60)
microglia 1,958.0,0.144,86.0,290,40,13.79,4.07 (3.36-4.77),250,86.21,3.77 (3.53-4.00)
oligodendrocytes 3,457.0,0.053,9.0,345,71,20.58,4.76 (4.25-5.27),274,79.42,4.17 (3.95-4.40)
oligodendrocytes 2,528.0,0.217,59.0,175,53,30.29,5.21 (4.56-5.87),122,69.71,4.12 (3.72-4.51)
