tipo_celular,module_size,SIRT2_MM,SIRT2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,305.0,0.184,50.0,15,6,40.0,4.74 (4.33-5.15),9,60.0,6.39 (5.62-7.16)
T cells 18,349.0,0.139,33.0,68,25,36.76,3.62 (2.81-4.43),43,63.24,4.84 (4.13-5.55)
astrocytes 5,932.0,0.095,29.0,80,4,5.0,3.92 (3.42-4.43),76,95.0,3.66 (3.22-4.09)
oligodendrocyte progenitor cells 7,628.0,0.11,12.0,164,9,5.49,5.57 (3.43-7.70),155,94.51,4.01 (3.68-4.33)
GABA neurons expressing GLU receptors 22,487.0,0.083,3.0,73,6,8.22,2.00 (0.95-3.06),67,91.78,2.83 (2.43-3.24)
GLU like neurons 17,229.0,0.187,43.0,22,0,0.0,NA,22,100.0,2.52 (1.91-3.13)
da like neurons 11,408.0,0.112,27.0,25,12,48.0,2.67 (0.97-4.38),13,52.0,6.55 (5.47-7.64)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,450.0,0.171,39.0,74,12,16.22,5.45 (3.98-6.93),62,83.78,5.47 (4.86-6.07)
oligodendrocytes 20,938.0,0.294,94.0,169,23,13.61,3.28 (2.68-3.88),146,86.39,3.52 (3.28-3.75)
GABA like neurons 14,2090.0,0.091,10.0,74,14,18.92,2.25 (2.01-2.49),60,81.08,3.14 (2.67-3.60)
astrocytes 8,771.0,0.119,49.0,48,5,10.42,0.79 (NA-NA),43,89.58,4.53 (3.78-5.27)
oligodendrocyte progenitor cells 12,708.0,0.564,99.0,32,15,46.88,2.02 (1.27-2.77),17,53.12,4.47 (3.35-5.59)
oligodendrocytes 10,1277.0,0.187,87.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,101.0,0.361,84.0,1,0,0.0,NA,1,100.0,8.28 (NA-NA)
astrocytes 15,458.0,0.062,27.0,36,2,5.56,NA,34,94.44,3.77 (2.68-4.85)
oligodendrocytes 16,104.0,0.146,6.0,1,1,100.0,0.26 (NA-NA),0,0.0,NA
da neurons 6,398.0,0.137,45.0,138,38,27.54,3.39 (2.82-3.95),100,72.46,5.41 (5.01-5.82)
astrocytes microglia 23,161.0,0.283,35.0,7,0,0.0,NA,7,100.0,1.58 (0.74-2.41)
astrocytes 4,721.0,0.178,90.0,61,11,18.03,3.99 (2.89-5.08),50,81.97,2.75 (2.33-3.17)
oligodendrocytes 0,546.0,0.179,56.0,252,52,20.63,3.31 (2.67-3.95),200,79.37,4.33 (4.09-4.58)
microglia 1,127.0,0.098,11.0,24,7,29.17,3.76 (2.35-5.18),17,70.83,5.54 (4.82-6.26)
oligodendrocytes 3,303.0,0.066,12.0,154,4,2.6,6.19 (5.01-7.36),150,97.4,3.53 (3.22-3.85)
oligodendrocytes 2,526.0,0.313,66.0,213,13,6.1,6.37 (5.69-7.06),200,93.9,3.81 (3.54-4.08)
