tipo_celular,module_size,ANKLE2_MM,ANKLE2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,249.0,0.155,53.0,35,0,0.0,NA,35,100.0,3.74 (2.80-4.69)
T cells 18,727.0,0.157,60.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82)
astrocytes 5,1656.0,0.128,70.0,136,5,3.68,3.76 (3.68-3.85),131,96.32,3.18 (2.90-3.47)
oligodendrocyte progenitor cells 7,4285.0,0.151,74.0,353,27,7.65,1.91 (1.45-2.38),326,92.35,4.10 (3.92-4.28)
GABA neurons expressing GLU receptors 22,848.0,0.139,18.0,262,21,8.02,2.83 (2.20-3.47),241,91.98,4.31 (4.05-4.56)
GLU like neurons 17,1316.0,0.106,35.0,101,2,1.98,2.89 (2.81-2.97),99,98.02,3.06 (2.70-3.41)
da like neurons 11,168.0,0.226,74.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,385.0,0.075,18.0,275,23,8.36,2.57 (1.79-3.35),252,91.64,4.13 (3.87-4.40)
oligodendrocytes 20,253.0,0.042,8.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80)
GABA like neurons 14,3052.0,0.122,35.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,260.0,0.09,28.0,4,2,50.0,1.10 (-0.55-2.76),2,50.0,3.78 (NA-NA)
oligodendrocyte progenitor cells 12,3303.0,0.073,42.0,276,16,5.8,2.38 (1.74-3.02),260,94.2,3.62 (3.40-3.85)
oligodendrocytes 10,2107.0,0.088,22.0,358,27,7.54,1.74 (1.28-2.20),331,92.46,4.09 (3.90-4.28)
connective tissue cells 21,145.0,0.267,34.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,338.0,0.171,64.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51)
oligodendrocytes 16,90.0,0.317,92.0,2,0,0.0,NA,2,100.0,1.33 (0.57-2.09)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,83.0,0.32,55.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.155,69.0,104,10,9.62,2.29 (1.28-3.29),94,90.38,2.93 (2.64-3.22)
oligodendrocytes 0,2078.0,0.113,46.0,238,5,2.1,3.41 (1.25-5.57),233,97.9,3.64 (3.42-3.86)
microglia 1,958.0,0.099,30.0,290,11,3.79,2.20 (1.60-2.79),279,96.21,3.90 (3.66-4.13)
oligodendrocytes 3,743.0,0.068,29.0,76,5,6.58,3.76 (3.68-3.85),71,93.42,3.11 (2.69-3.54)
oligodendrocytes 2,1630.0,0.165,90.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
