tipo_celular,module_size,SAR1B_MM,SAR1B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,184.0,0.275,81.0,21,9,42.86,1.60 (0.55-2.65),12,57.14,2.87 (2.27-3.47)
T cells 18,477.0,0.116,19.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,1656.0,0.124,63.0,136,14,10.29,3.98 (3.59-4.37),122,89.71,3.13 (2.84-3.42)
oligodendrocyte progenitor cells 7,4285.0,0.129,40.0,353,43,12.18,2.77 (2.32-3.22),310,87.82,4.10 (3.91-4.29)
GABA neurons expressing GLU receptors 22,567.0,0.153,33.0,16,4,25.0,2.47 (2.02-2.92),12,75.0,1.77 (0.87-2.68)
GLU like neurons 17,1316.0,0.101,29.0,101,5,4.95,3.38 (2.74-4.02),96,95.05,3.03 (2.66-3.40)
da like neurons 11,137.0,0.075,3.0,2,0,0.0,NA,2,100.0,5.16 (NA-NA)
GABA neurons expressing GABA receptors 13,65.0,0.356,100.0,2,0,0.0,NA,2,100.0,4.02 (3.45-4.59)
endothelial cells 9,385.0,0.093,39.0,275,28,10.18,2.31 (1.73-2.89),247,89.82,4.19 (3.92-4.46)
oligodendrocytes 20,330.0,0.167,49.0,36,0,0.0,NA,36,100.0,1.92 (1.57-2.27)
GABA like neurons 14,2402.0,0.217,47.0,455,65,14.29,3.74 (3.26-4.21),390,85.71,4.47 (4.28-4.67)
astrocytes 8,603.0,0.069,44.0,89,1,1.12,3.55 (NA-NA),88,98.88,2.75 (2.39-3.10)
oligodendrocyte progenitor cells 12,708.0,0.044,11.0,32,14,43.75,1.94 (1.23-2.65),18,56.25,4.55 (3.46-5.65)
oligodendrocytes 10,483.0,0.052,11.0,129,1,0.78,3.55 (NA-NA),128,99.22,3.43 (3.03-3.82)
connective tissue cells 21,118.0,0.404,90.0,2,0,0.0,NA,2,100.0,6.60 (NA-NA)
astrocytes 15,1401.0,0.028,3.0,96,10,10.42,3.63 (2.50-4.76),86,89.58,3.61 (3.12-4.10)
oligodendrocytes 16,51.0,0.289,88.0,1,0,0.0,NA,1,100.0,3.22 (NA-NA)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,131.0,0.383,91.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.148,57.0,104,19,18.27,2.92 (2.23-3.62),85,81.73,2.85 (2.54-3.16)
oligodendrocytes 0,613.0,0.172,75.0,127,7,5.51,3.47 (3.07-3.86),120,94.49,3.01 (2.56-3.46)
microglia 1,813.0,0.096,24.0,79,11,13.92,3.66 (2.67-4.66),68,86.08,3.00 (2.56-3.44)
oligodendrocytes 3,743.0,0.111,80.0,76,7,9.21,3.97 (3.56-4.39),69,90.79,3.08 (2.65-3.51)
oligodendrocytes 2,528.0,0.232,66.0,175,26,14.86,3.44 (2.91-3.97),149,85.14,4.60 (4.20-5.00)
