tipo_celular,module_size,SERGEF_MM,SERGEF_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,401.0,0.154,48.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24)
T cells 18,727.0,0.224,93.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82)
astrocytes 5,1141.0,0.112,24.0,166,14,8.43,2.51 (1.69-3.33),152,91.57,3.49 (3.23-3.75)
oligodendrocyte progenitor cells 7,4285.0,0.151,73.0,353,28,7.93,2.39 (1.83-2.95),325,92.07,4.06 (3.87-4.25)
GABA neurons expressing GLU receptors 22,400.0,0.207,56.0,24,12,50.0,1.83 (1.00-2.67),12,50.0,2.48 (1.91-3.04)
GLU like neurons 17,1316.0,0.186,90.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40)
da like neurons 11,191.0,0.097,11.0,93,2,2.15,4.04 (3.84-4.23),91,97.85,5.70 (5.29-6.11)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.117,42.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,938.0,0.041,8.0,169,5,2.96,2.14 (0.67-3.61),164,97.04,3.53 (3.31-3.75)
GABA like neurons 14,1300.0,0.24,66.0,306,21,6.86,2.49 (1.91-3.07),285,93.14,5.37 (5.12-5.63)
astrocytes 8,1266.0,0.059,25.0,66,19,28.79,2.15 (1.45-2.85),47,71.21,3.76 (3.33-4.20)
oligodendrocyte progenitor cells 12,3303.0,0.088,62.0,276,16,5.8,2.32 (1.77-2.87),260,94.2,3.64 (3.42-3.87)
oligodendrocytes 10,2107.0,0.107,32.0,358,32,8.94,2.30 (1.76-2.83),326,91.06,4.07 (3.88-4.26)
connective tissue cells 21,118.0,0.271,32.0,4,0,0.0,NA,4,100.0,1.60 (-1.03-4.24)
astrocytes 15,1401.0,0.045,13.0,96,4,4.17,4.67 (2.51-6.84),92,95.83,3.56 (3.10-4.01)
oligodendrocytes 16,65.0,0.225,69.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,729.0,0.111,30.0,182,0,0.0,NA,182,100.0,3.64 (3.38-3.89)
astrocytes microglia 23,115.0,0.245,11.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,721.0,0.112,4.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38)
oligodendrocytes 0,1186.0,0.107,8.0,300,4,1.33,2.72 (1.86-3.58),296,98.67,3.81 (3.60-4.01)
microglia 1,1615.0,0.108,47.0,161,20,12.42,2.02 (1.32-2.72),141,87.58,3.50 (3.22-3.77)
oligodendrocytes 3,681.0,0.083,38.0,87,13,14.94,2.08 (1.49-2.67),74,85.06,2.68 (2.38-2.98)
oligodendrocytes 2,921.0,0.138,51.0,200,4,2.0,3.49 (2.51-4.46),196,98.0,3.62 (3.35-3.90)
