tipo_celular,module_size,DENND6A_MM,DENND6A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,159.0,0.171,24.0,18,0,0.0,NA,18,100.0,2.04 (1.57-2.51)
T cells 18,610.0,0.156,54.0,98,9,9.18,1.13 (0.26-2.00),89,90.82,3.34 (3.04-3.65)
astrocytes 5,1141.0,0.102,15.0,166,5,3.01,2.93 (0.80-5.05),161,96.99,3.41 (3.16-3.66)
oligodendrocyte progenitor cells 7,4285.0,0.163,89.0,353,12,3.4,1.89 (0.80-2.99),341,96.6,3.98 (3.80-4.16)
GABA neurons expressing GLU receptors 22,848.0,0.15,24.0,262,6,2.29,2.56 (1.58-3.54),256,97.71,4.21 (3.96-4.46)
GLU like neurons 17,229.0,0.171,31.0,22,0,0.0,NA,22,100.0,2.52 (1.91-3.13)
da like neurons 11,289.0,0.17,44.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.122,46.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,250.0,0.244,70.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62)
GABA like neurons 14,2090.0,0.201,80.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,354.0,0.122,50.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47)
oligodendrocyte progenitor cells 12,708.0,0.038,4.0,25,3,12.0,3.51 (0.27-6.75),22,88.0,2.76 (1.72-3.80)
oligodendrocytes 10,2107.0,0.18,62.0,358,18,5.03,1.80 (0.99-2.61),340,94.97,4.00 (3.81-4.19)
connective tissue cells 21,85.0,0.2,10.0,3,0,0.0,NA,3,100.0,1.74 (1.73-1.75)
astrocytes 15,367.0,0.212,87.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04)
oligodendrocytes 16,158.0,0.229,71.0,30,0,0.0,NA,30,100.0,2.33 (1.68-2.98)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,131.0,0.239,10.0,5,0,0.0,NA,5,100.0,0.46 (0.38-0.54)
astrocytes 4,787.0,0.173,86.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,1186.0,0.125,22.0,300,2,0.67,3.56 (NA-NA),298,99.33,3.79 (3.59-4.00)
microglia 1,958.0,0.09,19.0,290,5,1.72,1.31 (0.80-1.82),285,98.28,3.87 (3.64-4.10)
oligodendrocytes 3,1003.0,0.093,47.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,921.0,0.136,46.0,200,1,0.5,2.24 (NA-NA),199,99.5,3.63 (3.36-3.90)
