tipo_celular,module_size,MACO1_MM,MACO1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,178.0,0.185,29.0,13,0,0.0,NA,13,100.0,1.68 (1.03-2.33)
T cells 18,727.0,0.196,86.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82)
astrocytes 5,1656.0,0.128,71.0,136,6,4.41,3.76 (3.68-3.85),130,95.59,3.18 (2.90-3.47)
oligodendrocyte progenitor cells 7,4285.0,0.125,34.0,353,17,4.82,1.48 (0.87-2.09),336,95.18,4.04 (3.86-4.22)
GABA neurons expressing GLU receptors 22,1069.0,0.103,10.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,1247.0,0.085,16.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,200.0,0.173,44.0,8,0,0.0,NA,8,100.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.127,49.0,297,2,0.67,4.17 (NA-NA),295,99.33,3.67 (3.47-3.88)
oligodendrocytes 20,295.0,0.145,32.0,28,0,0.0,NA,28,100.0,2.19 (1.73-2.65)
GABA like neurons 14,3052.0,0.155,64.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,771.0,0.052,14.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27)
oligodendrocyte progenitor cells 12,708.0,0.047,14.0,32,7,21.88,0.96 (0.24-1.68),25,78.12,4.01 (3.18-4.83)
oligodendrocytes 10,2107.0,0.084,20.0,358,15,4.19,0.99 (0.45-1.52),343,95.81,4.02 (3.84-4.20)
connective tissue cells 21,85.0,0.259,27.0,3,0,0.0,NA,3,100.0,1.74 (1.73-1.75)
astrocytes 15,1768.0,0.058,21.0,105,10,9.52,2.29 (1.42-3.15),95,90.48,3.32 (2.96-3.67)
oligodendrocytes 16,85.0,0.277,84.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,398.0,0.079,8.0,138,14,10.14,2.50 (1.50-3.51),124,89.86,5.11 (4.76-5.47)
astrocytes microglia 23,107.0,0.228,7.0,1,0,0.0,NA,1,100.0,3.12 (NA-NA)
astrocytes 4,1807.0,0.127,21.0,104,12,11.54,2.52 (1.65-3.39),92,88.46,2.91 (2.61-3.21)
oligodendrocytes 0,1186.0,0.147,54.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00)
microglia 1,1615.0,0.103,40.0,161,11,6.83,1.01 (0.32-1.70),150,93.17,3.48 (3.22-3.74)
oligodendrocytes 3,1003.0,0.082,35.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,921.0,0.161,85.0,200,4,2.0,2.72 (1.26-4.17),196,98.0,3.64 (3.37-3.91)
