tipo_celular,module_size,AGO2_MM,AGO2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,218.0,0.288,92.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37)
T cells 18,727.0,0.165,65.0,49,2,4.08,2.79 (2.27-3.31),47,95.92,2.41 (2.00-2.82)
astrocytes 5,932.0,0.128,76.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,4285.0,0.151,74.0,353,105,29.75,2.89 (2.56-3.21),248,70.25,4.41 (4.22-4.60)
GABA neurons expressing GLU receptors 22,567.0,0.372,89.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70)
GLU like neurons 17,1316.0,0.133,58.0,101,4,3.96,2.73 (2.53-2.94),97,96.04,3.06 (2.70-3.43)
da like neurons 11,408.0,0.124,33.0,25,9,36.0,2.10 (0.66-3.54),16,64.0,6.67 (5.67-7.67)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,303.0,0.179,49.0,54,1,1.85,4.08 (NA-NA),53,98.15,4.86 (4.22-5.50)
oligodendrocytes 20,348.0,0.193,70.0,33,4,12.12,3.86 (2.48-5.24),29,87.88,2.61 (2.11-3.11)
GABA like neurons 14,3052.0,0.228,98.0,125,5,4.0,5.37 (4.97-5.77),120,96.0,3.31 (2.99-3.64)
astrocytes 8,577.0,0.081,47.0,83,5,6.02,2.52 (1.00-4.05),78,93.98,3.31 (2.84-3.78)
oligodendrocyte progenitor cells 12,3303.0,0.157,100.0,276,71,25.72,2.47 (2.18-2.77),205,74.28,4.00 (3.75-4.25)
oligodendrocytes 10,1277.0,0.156,74.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,106.0,0.278,59.0,2,0,0.0,NA,2,100.0,4.57 (NA-NA)
astrocytes 15,1401.0,0.089,53.0,96,8,8.33,2.44 (1.75-3.12),88,91.67,3.75 (3.26-4.23)
oligodendrocytes 16,199.0,0.11,5.0,3,0,0.0,NA,3,100.0,5.28 (1.90-8.66)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,255.0,0.208,17.0,57,4,7.02,2.80 (2.10-3.51),53,92.98,2.64 (2.25-3.03)
astrocytes 4,255.0,0.123,12.0,12,0,0.0,NA,12,100.0,4.62 (3.76-5.48)
oligodendrocytes 0,1186.0,0.174,90.0,300,15,5.0,3.59 (3.08-4.10),285,95.0,3.80 (3.59-4.02)
microglia 1,480.0,0.176,43.0,163,6,3.68,5.00 (4.87-5.14),157,96.32,3.65 (3.38-3.92)
oligodendrocytes 3,681.0,0.13,77.0,87,56,64.37,2.28 (2.03-2.53),31,35.63,3.25 (2.65-3.84)
oligodendrocytes 2,407.0,0.235,96.0,122,60,49.18,2.20 (1.93-2.47),62,50.82,5.22 (4.72-5.71)
