tipo_celular,module_size,N4BP1_MM,N4BP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185.0,0.158,22.0,17,0,0.0,NA,17,100.0,1.90 (1.29-2.52)
T cells 18,727.0,0.178,76.0,49,5,10.2,4.16 (3.07-5.25),44,89.8,2.21 (1.83-2.59)
astrocytes 5,1141.0,0.095,10.0,166,50,30.12,3.15 (2.69-3.61),116,69.88,3.52 (3.22-3.82)
oligodendrocyte progenitor cells 7,4285.0,0.152,75.0,353,67,18.98,2.67 (2.30-3.04),286,81.02,4.25 (4.06-4.44)
GABA neurons expressing GLU receptors 22,714.0,0.188,54.0,17,5,29.41,2.70 (2.17-3.23),12,70.59,2.15 (1.35-2.94)
GLU like neurons 17,300.0,0.178,41.0,16,6,37.5,2.70 (2.17-3.23),10,62.5,1.74 (0.48-3.00)
da like neurons 11,215.0,0.283,76.0,9,0,0.0,NA,9,100.0,0.85 (0.17-1.52)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,412.0,0.126,26.0,141,6,4.26,2.19 (1.03-3.35),135,95.74,3.00 (2.76-3.24)
oligodendrocytes 20,676.0,0.04,15.0,110,4,3.64,0.90 (0.75-1.04),106,96.36,5.16 (4.73-5.58)
GABA like neurons 14,3052.0,0.12,33.0,125,2,1.6,4.08 (1.96-6.21),123,98.4,3.34 (3.01-3.66)
astrocytes 8,577.0,0.047,16.0,83,8,9.64,2.69 (1.60-3.77),75,90.36,3.32 (2.83-3.80)
oligodendrocyte progenitor cells 12,3303.0,0.068,37.0,276,54,19.57,2.76 (2.38-3.15),222,80.43,3.78 (3.54-4.03)
oligodendrocytes 10,2107.0,0.146,50.0,358,70,19.55,2.62 (2.26-2.99),288,80.45,4.27 (4.08-4.47)
connective tissue cells 21,88.0,0.239,27.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1401.0,0.103,66.0,96,4,4.17,2.17 (1.17-3.16),92,95.83,3.69 (3.23-4.15)
oligodendrocytes 16,91.0,0.198,37.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,127.0,0.287,32.0,1,0,0.0,NA,1,100.0,NA
astrocytes 4,787.0,0.133,19.0,65,2,3.08,5.16 (NA-NA),63,96.92,2.92 (2.53-3.31)
oligodendrocytes 0,1186.0,0.145,51.0,300,6,2.0,4.02 (2.80-5.24),294,98.0,3.79 (3.58-4.00)
microglia 1,958.0,0.149,89.0,290,27,9.31,3.15 (2.50-3.80),263,90.69,3.88 (3.64-4.13)
oligodendrocytes 3,1003.0,0.065,16.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,921.0,0.129,35.0,200,9,4.5,3.80 (2.43-5.16),191,95.5,3.61 (3.34-3.89)
