tipo_celular,module_size,ZFAND6_MM,ZFAND6_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,159.0,0.193,38.0,18,0,0.0,NA,18,100.0,2.04 (1.57-2.51)
T cells 18,477.0,0.217,80.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,423.0,0.151,50.0,80,1,1.25,1.04 (NA-NA),79,98.75,3.44 (2.96-3.91)
oligodendrocyte progenitor cells 7,666.0,0.212,77.0,127,13,10.24,2.36 (1.81-2.92),114,89.76,4.09 (3.74-4.45)
GABA neurons expressing GLU receptors 22,1069.0,0.165,50.0,37,2,5.41,2.74 (NA-NA),35,94.59,2.14 (1.67-2.60)
GLU like neurons 17,685.0,0.058,6.0,135,23,17.04,3.42 (2.83-4.01),112,82.96,3.14 (2.78-3.49)
da like neurons 11,204.0,0.137,31.0,2,0,0.0,NA,2,100.0,1.89 (-1.31-5.09)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.17,79.0,297,1,0.34,NA,296,99.66,3.67 (3.47-3.88)
oligodendrocytes 20,295.0,0.162,39.0,28,0,0.0,NA,28,100.0,2.19 (1.73-2.65)
GABA like neurons 14,3052.0,0.145,56.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,577.0,0.136,77.0,83,1,1.2,0.87 (NA-NA),82,98.8,3.29 (2.84-3.74)
oligodendrocyte progenitor cells 12,708.0,0.178,70.0,32,10,31.25,2.60 (1.91-3.28),22,68.75,3.61 (2.43-4.79)
oligodendrocytes 10,2107.0,0.283,87.0,358,22,6.15,2.25 (1.66-2.84),336,93.85,4.00 (3.80-4.19)
connective tissue cells 21,101.0,0.252,37.0,1,0,0.0,NA,1,100.0,8.28 (NA-NA)
astrocytes 15,443.0,0.174,67.0,9,1,11.11,0.95 (NA-NA),8,88.89,3.60 (2.32-4.88)
oligodendrocytes 16,116.0,0.197,46.0,3,0,0.0,NA,3,100.0,0.40 (0.12-0.68)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,327.0,0.216,13.0,120,35,29.17,3.33 (2.74-3.91),85,70.83,3.77 (3.42-4.11)
astrocytes 4,514.0,0.191,55.0,95,4,4.21,1.16 (0.64-1.68),91,95.79,3.50 (3.07-3.92)
oligodendrocytes 0,1186.0,0.111,10.0,300,8,2.67,3.20 (2.67-3.73),292,97.33,3.81 (3.60-4.02)
microglia 1,958.0,0.172,95.0,290,16,5.52,2.60 (2.00-3.19),274,94.48,3.91 (3.67-4.14)
oligodendrocytes 3,854.0,0.103,65.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14)
oligodendrocytes 2,347.0,0.185,45.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63)
