tipo_celular,module_size,KLHL7_MM,KLHL7_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,172,0.088,5.0,140,1,0.71,NA,139,99.29,4.51 (4.08-4.93)
T cells 18,282,0.109,24.0,241,0,0.0,NA,241,100.0,4.05 (3.80-4.31)
astrocytes 5,1656,0.103,31.0,136,2,1.47,3.31 (0.67-5.94),134,98.53,3.21 (2.93-3.48)
oligodendrocyte progenitor cells 7,4285,0.086,4.0,353,35,9.92,2.23 (1.72-2.74),318,90.08,4.13 (3.95-4.32)
GABA neurons expressing GLU receptors 22,823,0.167,43.0,23,3,13.04,2.38 (1.03-3.73),20,86.96,2.40 (1.55-3.24)
GLU like neurons 17,795,0.123,45.0,80,2,2.5,2.53 (2.34-2.73),78,97.5,5.80 (5.40-6.19)
da like neurons 11,140,0.329,80.0,1,0,0.0,NA,1,100.0,NA
GABA neurons expressing GABA receptors 13,357,0.114,23.0,237,0,0.0,NA,237,100.0,4.41 (4.18-4.64)
endothelial cells 9,1653,0.047,1.0,297,6,2.02,4.56 (3.96-5.16),291,97.98,3.65 (3.44-3.86)
oligodendrocytes 20,938,0.098,36.0,169,8,4.73,3.17 (1.76-4.59),161,95.27,3.50 (3.28-3.72)
GABA like neurons 14,2090,0.141,41.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,283,0.136,49.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,218,0.24,49.0,1,0,0.0,NA,1,100.0,2.68 (NA-NA)
oligodendrocytes 10,806,0.173,55.0,261,1,0.38,1.29 (NA-NA),260,99.62,4.38 (4.14-4.62)
connective tissue cells 21,114,0.286,56.0,11,2,18.18,0.79 (0.03-1.55),9,81.82,1.81 (0.52-3.10)
astrocytes 15,1768,0.07,33.0,105,17,16.19,2.01 (1.39-2.63),88,83.81,3.47 (3.11-3.83)
oligodendrocytes 16,65,0.186,38.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,518,0.183,91.0,122,10,8.2,1.30 (0.52-2.08),112,91.8,4.31 (3.94-4.69)
astrocytes microglia 23,110,0.328,58.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,787,0.137,25.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,2078,0.106,34.0,238,10,4.2,3.69 (2.75-4.62),228,95.8,3.63 (3.41-3.86)
microglia 1,1615,0.078,8.0,161,31,19.25,2.21 (1.65-2.77),130,80.75,3.60 (3.32-3.88)
oligodendrocytes 3,854,0.05,6.0,76,4,5.26,2.75 (0.93-4.56),72,94.74,2.78 (2.45-3.12)
oligodendrocytes 2,1630,0.137,39.0,154,1,0.65,4.40 (NA-NA),153,99.35,3.24 (2.97-3.50)
