tipo_celular,module_size,PRPSAP2_MM,PRPSAP2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,305.0,0.07,3.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49)
T cells 18,282.0,0.086,15.0,241,17,7.05,3.57 (3.31-3.82),224,92.95,4.11 (3.83-4.39)
astrocytes 5,1656.0,0.089,12.0,136,4,2.94,2.22 (0.88-3.55),132,97.06,3.24 (2.97-3.52)
oligodendrocyte progenitor cells 7,4285.0,0.149,71.0,353,26,7.37,2.10 (1.64-2.56),327,92.63,4.08 (3.89-4.26)
GABA neurons expressing GLU receptors 22,487.0,0.146,19.0,73,1,1.37,1.32 (NA-NA),72,98.63,2.78 (2.39-3.17)
GLU like neurons 17,1247.0,0.104,28.0,51,1,1.96,3.78 (NA-NA),50,98.04,3.62 (3.03-4.21)
da like neurons 11,853.0,0.117,39.0,133,10,7.52,1.86 (1.09-2.64),123,92.48,3.39 (3.07-3.71)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,450.0,0.063,4.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02)
oligodendrocytes 20,228.0,0.198,49.0,5,2,40.0,1.10 (-0.55-2.76),3,60.0,4.69 (2.53-6.85)
GABA like neurons 14,3052.0,0.114,28.0,125,2,1.6,3.67 (2.70-4.65),123,98.4,3.35 (3.02-3.68)
astrocytes 8,1266.0,0.035,4.0,66,5,7.58,2.23 (0.84-3.63),61,92.42,3.32 (2.89-3.76)
oligodendrocyte progenitor cells 12,3303.0,0.1,74.0,276,26,9.42,2.41 (1.98-2.84),250,90.58,3.69 (3.46-3.93)
oligodendrocytes 10,1277.0,0.037,5.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,106.0,0.196,15.0,2,0,0.0,NA,2,100.0,4.57 (NA-NA)
astrocytes 15,338.0,0.234,91.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51)
oligodendrocytes 16,123.0,0.216,53.0,4,0,0.0,NA,4,100.0,2.02 (0.43-3.61)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,115.0,0.332,65.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.164,84.0,104,14,13.46,1.53 (1.08-1.99),90,86.54,3.09 (2.80-3.38)
oligodendrocytes 0,2078.0,0.124,71.0,238,8,3.36,2.18 (1.43-2.94),230,96.64,3.70 (3.47-3.92)
microglia 1,1615.0,0.088,20.0,161,19,11.8,1.80 (1.25-2.35),142,88.2,3.52 (3.24-3.80)
oligodendrocytes 3,854.0,0.056,10.0,76,3,3.95,1.74 (-0.34-3.82),73,96.05,2.83 (2.50-3.16)
oligodendrocytes 2,921.0,0.121,24.0,200,2,1.0,2.25 (0.43-4.07),198,99.0,3.64 (3.37-3.91)
