tipo_celular,module_size,SNX19_MM,SNX19_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500.0,0.174,57.0,32,2,6.25,5.16 (NA-NA),30,93.75,3.67 (2.87-4.47)
T cells 18,624.0,0.194,80.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48)
astrocytes 5,932.0,0.117,62.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,4285.0,0.158,83.0,353,22,6.23,2.10 (1.49-2.71),331,93.77,4.05 (3.86-4.23)
GABA neurons expressing GLU receptors 22,599.0,0.32,89.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03)
GLU like neurons 17,300.0,0.163,26.0,16,0,0.0,NA,16,100.0,2.08 (1.23-2.93)
da like neurons 11,408.0,0.134,36.0,25,6,24.0,1.22 (0.68-1.76),19,76.0,6.07 (4.85-7.28)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.09,20.0,297,1,0.34,NA,296,99.66,3.67 (3.47-3.88)
oligodendrocytes 20,250.0,0.194,59.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62)
GABA like neurons 14,3052.0,0.158,66.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,771.0,0.07,25.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27)
oligodendrocyte progenitor cells 12,708.0,0.11,48.0,25,2,8.0,1.22 (-0.77-3.20),23,92.0,3.04 (2.01-4.08)
oligodendrocytes 10,1277.0,0.048,11.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,118.0,0.279,37.0,4,0,0.0,NA,4,100.0,1.60 (-1.03-4.24)
astrocytes 15,1401.0,0.023,1.0,96,3,3.12,2.65 (1.59-3.70),93,96.88,3.65 (3.19-4.11)
oligodendrocytes 16,151.0,0.162,30.0,7,0,0.0,NA,7,100.0,1.31 (0.28-2.35)
da neurons 6,518.0,0.094,32.0,122,19,15.57,2.29 (1.68-2.91),103,84.43,4.42 (4.01-4.84)
astrocytes microglia 23,96.0,0.275,22.0,1,0,0.0,NA,1,100.0,0.39 (NA-NA)
astrocytes 4,255.0,0.163,45.0,12,0,0.0,NA,12,100.0,4.62 (3.76-5.48)
oligodendrocytes 0,1186.0,0.147,56.0,300,2,0.67,2.06 (NA-NA),298,99.33,3.80 (3.59-4.01)
microglia 1,1615.0,0.119,63.0,161,11,6.83,0.96 (0.45-1.46),150,93.17,3.48 (3.22-3.74)
oligodendrocytes 3,681.0,0.15,86.0,87,4,4.6,0.89 (0.20-1.58),83,95.4,2.67 (2.40-2.94)
oligodendrocytes 2,921.0,0.162,86.0,200,5,2.5,3.45 (2.69-4.21),195,97.5,3.63 (3.35-3.90)
