tipo_celular,module_size,UNK_MM,UNK_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500.0,0.122,22.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50)
T cells 18,518.0,0.094,10.0,131,3,2.29,3.32 (2.27-4.37),128,97.71,3.07 (2.79-3.35)
astrocytes 5,932.0,0.12,67.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,4285.0,0.14,57.0,353,29,8.22,2.15 (1.65-2.66),324,91.78,4.09 (3.90-4.27)
GABA neurons expressing GLU receptors 22,567.0,0.118,14.0,16,0,0.0,NA,16,100.0,1.97 (1.30-2.64)
GLU like neurons 17,685.0,0.116,40.0,135,25,18.52,2.37 (1.79-2.95),110,81.48,3.42 (3.08-3.76)
da like neurons 11,853.0,0.164,70.0,133,22,16.54,2.04 (1.59-2.50),111,83.46,3.53 (3.18-3.88)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.128,50.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,403.0,0.209,81.0,18,4,22.22,1.48 (0.35-2.62),14,77.78,1.99 (1.17-2.81)
GABA like neurons 14,2090.0,0.141,41.0,74,1,1.35,1.92 (NA-NA),73,98.65,2.96 (2.58-3.34)
astrocytes 8,1266.0,0.132,82.0,66,11,16.67,3.38 (2.25-4.51),55,83.33,3.19 (2.74-3.64)
oligodendrocyte progenitor cells 12,3303.0,0.083,55.0,276,23,8.33,1.94 (1.46-2.42),253,91.67,3.73 (3.51-3.95)
oligodendrocytes 10,2107.0,0.149,51.0,358,33,9.22,2.12 (1.63-2.61),325,90.78,4.10 (3.91-4.29)
connective tissue cells 21,111.0,0.25,28.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,208.0,0.045,22.0,4,1,25.0,4.85 (NA-NA),3,75.0,2.25 (-0.30-4.81)
oligodendrocytes 16,156.0,0.166,26.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,91.0,0.185,12.0,3,1,33.33,NA,2,66.67,4.26 (NA-NA)
astrocytes 4,721.0,0.155,55.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38)
oligodendrocytes 0,479.0,0.131,33.0,40,6,15.0,5.81 (4.13-7.48),34,85.0,5.87 (5.33-6.42)
microglia 1,1615.0,0.07,4.0,161,21,13.04,1.69 (1.24-2.15),140,86.96,3.57 (3.30-3.85)
oligodendrocytes 3,1003.0,0.092,46.0,111,2,1.8,5.10 (NA-NA),109,98.2,3.28 (2.94-3.63)
oligodendrocytes 2,407.0,0.136,28.0,122,23,18.85,1.92 (1.47-2.36),99,81.15,3.78 (3.34-4.22)
