tipo_celular,module_size,TOR1AIP2_MM,TOR1AIP2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,360.0,0.148,31.0,102,7,6.86,2.43 (1.33-3.53),95,93.14,3.57 (3.19-3.95)
T cells 18,624.0,0.212,87.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48)
astrocytes 5,1656.0,0.124,64.0,136,1,0.74,3.74 (NA-NA),135,99.26,3.20 (2.93-3.48)
oligodendrocyte progenitor cells 7,4285.0,0.164,89.0,353,23,6.52,1.93 (1.34-2.52),330,93.48,4.05 (3.87-4.24)
GABA neurons expressing GLU receptors 22,714.0,0.213,66.0,17,0,0.0,NA,17,100.0,2.31 (1.72-2.89)
GLU like neurons 17,300.0,0.22,76.0,16,0,0.0,NA,16,100.0,2.08 (1.23-2.93)
da like neurons 11,142.0,0.169,35.0,2,0,0.0,NA,2,100.0,4.56 (NA-NA)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,559.0,0.143,44.0,155,0,0.0,NA,155,100.0,4.34 (3.97-4.70)
oligodendrocytes 20,298.0,0.071,27.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA)
GABA like neurons 14,3052.0,0.117,31.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,603.0,0.051,22.0,89,0,0.0,NA,89,100.0,2.76 (2.41-3.11)
oligodendrocyte progenitor cells 12,3303.0,0.063,30.0,276,7,2.54,2.48 (1.38-3.58),269,97.46,3.57 (3.35-3.79)
oligodendrocytes 10,2107.0,0.1,29.0,358,20,5.59,1.66 (1.03-2.28),338,94.41,4.02 (3.83-4.21)
connective tissue cells 21,77.0,0.357,83.0,3,0,0.0,NA,3,100.0,2.87 (-1.86-7.60)
astrocytes 15,208.0,0.092,46.0,4,0,0.0,NA,4,100.0,3.12 (0.87-5.36)
oligodendrocytes 16,69.0,0.23,59.0,1,1,100.0,NA,0,0.0,NA
da neurons 6,553.0,0.092,22.0,124,2,1.61,0.40 (NA-NA),122,98.39,4.23 (3.84-4.61)
astrocytes microglia 23,135.0,0.281,27.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.155,70.0,104,7,6.73,2.09 (0.83-3.34),97,93.27,2.92 (2.64-3.21)
oligodendrocytes 0,2078.0,0.116,54.0,238,4,1.68,2.12 (0.58-3.66),234,98.32,3.67 (3.45-3.89)
microglia 1,958.0,0.136,81.0,290,11,3.79,2.66 (1.80-3.51),279,96.21,3.86 (3.62-4.09)
oligodendrocytes 3,743.0,0.069,31.0,76,1,1.32,3.74 (NA-NA),75,98.68,3.15 (2.75-3.55)
oligodendrocytes 2,921.0,0.146,67.0,200,4,2.0,2.78 (1.47-4.10),196,98.0,3.64 (3.37-3.91)
