tipo_celular,module_size,PRMT3_MM,PRMT3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500.0,0.095,8.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50)
T cells 18,624.0,0.144,43.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48)
astrocytes 5,1141.0,0.147,72.0,166,25,15.06,2.50 (1.94-3.06),141,84.94,3.59 (3.32-3.86)
oligodendrocyte progenitor cells 7,666.0,0.178,59.0,127,12,9.45,3.68 (2.03-5.33),115,90.55,3.85 (3.52-4.18)
GABA neurons expressing GLU receptors 22,703.0,0.261,87.0,23,2,8.7,1.85 (0.53-3.17),21,91.3,2.12 (1.34-2.89)
GLU like neurons 17,795.0,0.076,13.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09)
da like neurons 11,102.0,0.081,5.0,8,8,100.0,2.36 (0.98-3.74),0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,450.0,0.15,29.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02)
oligodendrocytes 20,295.0,0.032,4.0,28,0,0.0,NA,28,100.0,2.19 (1.73-2.65)
GABA like neurons 14,3052.0,0.195,90.0,125,1,0.8,3.00 (NA-NA),124,99.2,3.36 (3.03-3.68)
astrocytes 8,577.0,0.098,60.0,83,6,7.23,2.22 (1.54-2.89),77,92.77,3.35 (2.87-3.83)
oligodendrocyte progenitor cells 12,708.0,0.099,43.0,25,2,8.0,2.75 (-2.23-7.72),23,92.0,2.88 (1.87-3.89)
oligodendrocytes 10,2107.0,0.285,87.0,358,42,11.73,2.07 (1.61-2.53),316,88.27,4.15 (3.96-4.34)
connective tissue cells 21,136.0,0.249,30.0,3,0,0.0,NA,3,100.0,0.26 (NA-NA)
astrocytes 15,1768.0,0.146,90.0,105,15,14.29,1.77 (1.28-2.27),90,85.71,3.48 (3.12-3.83)
oligodendrocytes 16,74.0,0.163,28.0,1,0,0.0,NA,1,100.0,3.65 (NA-NA)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,58.0,0.253,16.0,6,0,0.0,NA,6,100.0,5.75 (NA-NA)
astrocytes 4,255.0,0.16,40.0,12,0,0.0,NA,12,100.0,4.62 (3.76-5.48)
oligodendrocytes 0,1186.0,0.141,44.0,300,3,1.0,3.19 (1.91-4.46),297,99.0,3.80 (3.59-4.00)
microglia 1,813.0,0.171,86.0,79,2,2.53,NA,77,97.47,3.10 (2.70-3.50)
oligodendrocytes 3,1003.0,0.103,58.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,921.0,0.149,70.0,200,2,1.0,1.64 (1.01-2.27),198,99.0,3.65 (3.38-3.91)
