tipo_celular,module_size,MCM9_MM,MCM9_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,218.0,0.138,9.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37)
T cells 18,624.0,0.131,31.0,142,3,2.11,3.25 (2.77-3.73),139,97.89,3.21 (2.94-3.48)
astrocytes 5,1656.0,0.11,40.0,136,3,2.21,2.65 (0.18-5.12),133,97.79,3.22 (2.95-3.49)
oligodendrocyte progenitor cells 7,4285.0,0.178,97.0,353,38,10.76,1.94 (1.49-2.40),315,89.24,4.16 (3.98-4.34)
GABA neurons expressing GLU receptors 22,599.0,0.253,71.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13)
GLU like neurons 17,795.0,0.086,21.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09)
da like neurons 11,89.0,0.262,50.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,658.0,0.109,15.0,120,3,2.5,1.85 (1.62-2.08),117,97.5,4.69 (4.38-5.00)
oligodendrocytes 20,358.0,0.043,15.0,31,2,6.45,2.80 (NA-NA),29,93.55,2.34 (1.90-2.79)
GABA like neurons 14,3052.0,0.08,8.0,125,4,3.2,3.81 (2.47-5.14),121,96.8,3.34 (3.01-3.67)
astrocytes 8,262.0,0.161,60.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74)
oligodendrocyte progenitor cells 12,3303.0,0.093,68.0,276,21,7.61,2.14 (1.57-2.70),255,92.39,3.69 (3.47-3.91)
oligodendrocytes 10,2107.0,0.186,65.0,358,40,11.17,2.15 (1.68-2.62),318,88.83,4.13 (3.94-4.32)
connective tissue cells 21,57.0,0.329,67.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,268.0,0.026,1.0,10,0,0.0,NA,10,100.0,3.69 (2.00-5.38)
oligodendrocytes 16,81.0,0.282,94.0,3,0,0.0,NA,3,100.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,140.0,0.294,39.0,1,0,0.0,NA,1,100.0,NA
astrocytes 4,1807.0,0.128,22.0,104,17,16.35,1.57 (1.05-2.08),87,83.65,3.14 (2.85-3.43)
oligodendrocytes 0,2078.0,0.123,67.0,238,10,4.2,2.52 (1.63-3.40),228,95.8,3.69 (3.46-3.91)
microglia 1,1615.0,0.135,81.0,161,30,18.63,1.96 (1.37-2.56),131,81.37,3.62 (3.36-3.89)
oligodendrocytes 3,1003.0,0.074,26.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,921.0,0.101,7.0,200,10,5.0,3.65 (2.84-4.46),190,95.0,3.62 (3.34-3.90)
