tipo_celular,module_size,IBTK_MM,IBTK_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,211.0,0.261,90.0,47,0,0.0,NA,47,100.0,2.59 (2.10-3.08),NA,4.16
T cells 18,624.0,0.118,23.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48),NA,4.30
astrocytes 5,1141.0,0.161,85.0,166,22,13.25,2.13 (1.66-2.60),144,86.75,3.63 (3.37-3.90),7.86,4.04
oligodendrocyte progenitor cells 7,4285.0,0.141,59.0,353,31,8.78,1.81 (1.41-2.20),322,91.22,4.15 (3.97-4.33),29.95,5.96
GABA neurons expressing GLU receptors 22,714.0,0.214,67.0,17,7,41.18,2.52 (2.09-2.95),10,58.82,2.16 (1.20-3.12),2.27,4.47
GLU like neurons 17,1316.0,0.149,72.0,101,1,0.99,3.00 (NA-NA),100,99.01,3.05 (2.70-3.41),3.61,3.05
da like neurons 11,77.0,0.445,86.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56),NA,7.10
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.118,42.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88),NA,5.52
oligodendrocytes 20,358.0,0.147,47.0,31,0,0.0,NA,31,100.0,2.36 (1.93-2.79),NA,3.83
GABA like neurons 14,3052.0,0.197,90.0,125,1,0.8,3.00 (NA-NA),124,99.2,3.36 (3.03-3.68),5.38,8.64
astrocytes 8,262.0,0.179,69.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74),NA,4.83
oligodendrocyte progenitor cells 12,3303.0,0.104,78.0,276,26,9.42,2.17 (1.78-2.55),250,90.58,3.74 (3.51-3.96),14.26,4.16
oligodendrocytes 10,2107.0,0.105,31.0,358,34,9.5,1.77 (1.39-2.16),324,90.5,4.16 (3.97-4.34),32.23,7.08
connective tissue cells 21,106.0,0.204,13.0,9,1,11.11,0.26 (NA-NA),8,88.89,4.64 (2.19-7.09),1.92,2.32
astrocytes 15,1768.0,0.094,56.0,105,15,14.29,1.75 (1.31-2.20),90,85.71,3.48 (3.12-3.84),7.91,3.32
oligodendrocytes 16,199.0,0.136,22.0,3,0,0.0,NA,3,100.0,5.28 (1.90-8.66),NA,4.76
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,108.0,0.242,14.0,8,0,0.0,NA,8,100.0,1.12 (0.45-1.80),NA,3.04
astrocytes 4,787.0,0.149,47.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36),NA,5.75
oligodendrocytes 0,309.0,0.147,65.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69),NA,2.87
microglia 1,813.0,0.168,85.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50),NA,7.90
oligodendrocytes 3,639.0,0.158,85.0,15,4,26.67,0.50 (0.20-0.80),11,73.33,4.56 (3.30-5.82),3.19,1.87
oligodendrocytes 2,804.0,0.2,89.0,84,6,7.14,1.62 (0.44-2.80),78,92.86,2.77 (2.43-3.12),2.99,3.43
