tipo_celular,module_size,JAZF1_MM,JAZF1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,235.0,0.263,61.0,140,0,0.0,NA,140,100.0,4.56 (4.27-4.84),NA,3.54
T cells 18,393.0,0.114,22.0,59,2,3.39,3.21 (2.29-4.12),57,96.61,3.10 (2.58-3.62),1.93,5.46
astrocytes 5,1141.0,0.136,59.0,166,35,21.08,2.29 (1.90-2.69),131,78.92,3.77 (3.49-4.04),6.11,4.13
oligodendrocyte progenitor cells 7,436.0,0.037,2.0,219,0,0.0,NA,219,100.0,5.21 (4.92-5.50),NA,4.61
GABA neurons expressing GLU receptors 22,714.0,0.273,87.0,17,5,29.41,2.70 (2.17-3.23),12,70.59,2.15 (1.35-2.94),2.48,4.02
GLU like neurons 17,380.0,0.116,12.0,39,0,0.0,NA,39,100.0,2.97 (2.41-3.52),NA,2.57
da like neurons 11,140.0,0.387,98.0,1,0,0.0,NA,1,100.0,NA,NA,1.72
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.213,93.0,297,3,1.01,5.16 (5.16-5.16),294,98.99,3.66 (3.46-3.87),8.01,5.49
oligodendrocytes 20,221.0,0.221,59.0,12,0,0.0,NA,12,100.0,2.42 (0.83-4.00),NA,4.23
GABA like neurons 14,1300.0,0.362,98.0,306,9,2.94,2.07 (1.15-3.00),297,97.06,5.23 (4.97-5.49),4.39,6.78
astrocytes 8,283.0,0.227,88.0,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,708.0,0.2,74.0,32,9,28.12,1.63 (0.66-2.59),23,71.88,4.01 (3.08-4.94),3.36,2.30
oligodendrocytes 10,2107.0,0.327,92.0,358,64,17.88,2.31 (1.98-2.64),294,82.12,4.34 (4.16-4.53),25.10,6.07
connective tissue cells 21,111.0,0.226,15.0,10,0,0.0,NA,10,100.0,2.44 (1.89-3.00),NA,1.84
astrocytes 15,1401.0,0.096,60.0,96,4,4.17,2.17 (1.17-3.16),92,95.83,3.69 (3.23-4.15),4.84,3.75
oligodendrocytes 16,123.0,0.226,60.0,4,0,0.0,NA,4,100.0,2.02 (0.43-3.61),NA,3.28
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,229.0,0.309,59.0,99,0,0.0,NA,99,100.0,4.30 (3.96-4.63),NA,3.24
astrocytes 4,161.0,0.152,35.0,45,0,0.0,NA,45,100.0,5.28 (4.66-5.91),NA,3.11
oligodendrocytes 0,309.0,0.166,75.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69),NA,2.87
microglia 1,315.0,0.194,64.0,144,0,0.0,NA,144,100.0,4.46 (4.15-4.77),NA,4.21
oligodendrocytes 3,639.0,0.183,90.0,15,4,26.67,0.50 (0.20-0.80),11,73.33,4.56 (3.30-5.82),3.19,1.87
oligodendrocytes 2,804.0,0.214,95.0,84,4,4.76,0.69 (0.37-1.02),80,95.24,2.81 (2.48-3.15),3.13,3.41
