tipo_celular,module_size,ZDHHC3_MM,ZDHHC3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,172.0,0.227,69.0,140,3,2.14,2.03 (1.97-2.09),137,97.86,4.56 (4.14-4.99),2.52,3.59
T cells 18,282.0,0.228,82.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42),NA,5.37
astrocytes 5,322.0,0.089,6.0,58,12,20.69,2.84 (2.16-3.51),46,79.31,4.52 (4.07-4.96),2.06,2.38
oligodendrocyte progenitor cells 7,4285.0,0.103,11.0,353,35,9.92,2.19 (1.73-2.65),318,90.08,4.13 (3.95-4.32),22.93,6.43
GABA neurons expressing GLU receptors 22,703.0,0.215,68.0,23,1,4.35,2.53 (NA-NA),22,95.65,2.07 (1.33-2.82),1.75,4.03
GLU like neurons 17,1247.0,0.129,47.0,51,3,5.88,4.34 (2.04-6.63),48,94.12,3.57 (2.97-4.17),4.20,3.18
da like neurons 11,289.0,0.094,11.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24),NA,2.16
GABA neurons expressing GABA receptors 13,266.0,0.146,41.0,118,2,1.69,5.51 (5.51-5.51),116,98.31,4.72 (4.36-5.08),2.41,4.02
endothelial cells 9,559.0,0.054,3.0,155,1,0.65,NA,154,99.35,4.34 (3.97-4.70),3.23,4.34
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,3052.0,0.156,64.0,125,3,2.4,3.37 (3.00-3.73),122,97.6,3.35 (3.02-3.68),4.53,8.71
astrocytes 8,354.0,0.106,42.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47),NA,5.07
oligodendrocyte progenitor cells 12,3303.0,0.071,39.0,276,24,8.7,2.20 (1.70-2.70),252,91.3,3.70 (3.47-3.92),9.37,4.70
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,91.0,0.332,73.0,4,0,0.0,NA,4,100.0,0.35 (0.26-0.44),NA,2.51
astrocytes 15,367.0,0.028,3.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04),NA,3.30
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,39.0,0.3,40.0,3,0,0.0,NA,3,100.0,7.74 (6.69-8.80),NA,1.48
astrocytes 4,1807.0,0.108,5.0,104,21,20.19,2.27 (1.70-2.83),83,79.81,3.03 (2.71-3.34),8.41,4.64
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,958.0,0.112,51.0,290,15,5.17,2.52 (1.92-3.11),275,94.83,3.90 (3.67-4.14),6.47,4.92
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
