tipo_celular,module_size,RPRD2_MM,RPRD2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,305.0,0.082,5.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49),NA,2.34
T cells 18,624.0,0.177,70.0,142,1,0.7,NA,141,99.3,3.21 (2.94-3.48),1.46,4.32
astrocytes 5,499.0,0.108,12.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52),NA,3.79
oligodendrocyte progenitor cells 7,4285.0,0.059,1.0,353,36,10.2,1.57 (1.21-1.93),317,89.8,4.17 (3.99-4.34),28.66,5.72
GABA neurons expressing GLU receptors 22,1069.0,0.04,1.0,37,4,10.81,2.23 (1.51-2.95),33,89.19,2.15 (1.63-2.66),2.83,3.13
GLU like neurons 17,1247.0,0.16,68.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,142.0,0.345,80.0,2,0,0.0,NA,2,100.0,4.56 (NA-NA),NA,1.71
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.14,60.0,297,5,1.68,NA,292,98.32,3.67 (3.47-3.88),2.52,5.57
oligodendrocytes 20,271.0,0.018,0.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99),NA,3.42
GABA like neurons 14,1300.0,0.354,97.0,306,3,0.98,1.08 (-0.63-2.78),303,99.02,5.13 (4.87-5.39),2.40,6.75
astrocytes 8,1266.0,0.102,68.0,66,11,16.67,1.52 (0.80-2.24),55,83.33,3.63 (3.22-4.05),4.84,2.57
oligodendrocyte progenitor cells 12,218.0,0.393,91.0,1,0,0.0,NA,1,100.0,2.68 (NA-NA),NA,2.31
oligodendrocytes 10,2107.0,0.131,43.0,358,35,9.78,1.57 (1.21-1.93),323,90.22,4.14 (3.96-4.32),35.01,6.71
connective tissue cells 21,103.0,0.267,45.0,2,0,0.0,NA,2,100.0,3.59 (3.46-3.72),NA,1.57
astrocytes 15,367.0,0.085,19.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04),NA,3.30
oligodendrocytes 16,64.0,0.246,81.0,1,0,0.0,NA,1,100.0,2.12 (NA-NA),NA,1.77
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,255.0,0.135,1.0,57,0,0.0,NA,57,100.0,2.65 (2.29-3.01),NA,3.33
astrocytes 4,752.0,0.11,4.0,96,0,0.0,NA,96,100.0,3.29 (2.96-3.62),NA,4.32
oligodendrocytes 0,1186.0,0.158,73.0,300,3,1.0,NA,297,99.0,3.79 (3.59-4.00),2.44,4.17
microglia 1,1615.0,0.104,42.0,161,28,17.39,1.47 (1.11-1.82),133,82.61,3.74 (3.48-4.00),13.87,3.65
oligodendrocytes 3,1003.0,0.071,23.0,111,2,1.8,3.13 (2.98-3.28),109,98.2,3.31 (2.96-3.66),3.46,4.25
oligodendrocytes 2,804.0,0.149,48.0,84,4,4.76,0.60 (0.21-1.00),80,95.24,2.79 (2.45-3.12),2.98,3.42
