tipo_celular,module_size,KATNAL1_MM,KATNAL1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,727.0,0.241,97.0,49,1,2.04,2.53 (NA-NA),48,97.96,2.43 (2.02-2.83),5.05,6.26
astrocytes 5,1141.0,0.149,75.0,166,7,4.22,1.61 (0.69-2.52),159,95.78,3.47 (3.22-3.72),5.33,4.52
oligodendrocyte progenitor cells 7,4285.0,0.134,48.0,353,17,4.82,1.54 (0.95-2.13),336,95.18,4.04 (3.86-4.22),24.46,7.23
GABA neurons expressing GLU receptors 22,703.0,0.263,88.0,23,1,4.35,2.53 (NA-NA),22,95.65,2.07 (1.33-2.82),1.75,4.03
GLU like neurons 17,380.0,0.357,100.0,39,0,0.0,NA,39,100.0,2.97 (2.41-3.52),NA,2.57
da like neurons 11,101.0,0.101,17.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,93.0,0.119,17.0,2,0,0.0,NA,2,100.0,NA,NA,2.07
endothelial cells 9,586.0,0.116,25.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49),NA,4.21
oligodendrocytes 20,348.0,0.052,24.0,33,1,3.03,3.22 (NA-NA),32,96.97,2.72 (2.21-3.22),6.76,3.28
GABA like neurons 14,3052.0,0.132,43.0,125,2,1.6,4.56 (NA-NA),123,98.4,3.34 (3.02-3.67),4.87,8.67
astrocytes 8,218.0,0.178,75.0,9,0,0.0,NA,9,100.0,2.12 (1.21-3.03),NA,4.91
oligodendrocyte progenitor cells 12,708.0,0.047,13.0,32,5,15.62,0.90 (0.24-1.57),27,84.38,3.75 (2.91-4.59),4.49,2.25
oligodendrocytes 10,735.0,0.058,18.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14),NA,8.95
connective tissue cells 21,102.0,0.249,31.0,5,2,40.0,1.57 (1.57-1.57),3,60.0,1.01 (NA-NA),1.32,1.47
astrocytes 15,377.0,0.112,19.0,14,5,35.71,3.57 (1.46-5.68),9,64.29,1.18 (0.12-2.24),3.16,2.06
oligodendrocytes 16,74.0,0.355,98.0,1,0,0.0,NA,1,100.0,NA,NA,1.34
da neurons 6,307.0,0.114,44.0,95,0,0.0,NA,95,100.0,4.85 (4.41-5.28),NA,3.36
astrocytes microglia 23,126.0,0.366,73.0,1,0,0.0,NA,1,100.0,5.16 (NA-NA),NA,1.67
astrocytes 4,787.0,0.168,79.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36),NA,5.75
oligodendrocytes 0,2078.0,0.124,70.0,238,4,1.68,2.04 (0.78-3.31),234,98.32,3.67 (3.45-3.89),9.82,4.94
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,681.0,0.083,39.0,87,5,5.75,1.28 (0.77-1.80),82,94.25,2.67 (2.39-2.95),2.73,4.33
oligodendrocytes 2,921.0,0.125,30.0,200,1,0.5,4.07 (NA-NA),199,99.5,3.62 (3.35-3.89),2.12,3.47
