tipo_celular,module_size,CXXC5_MM,CXXC5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,328.0,0.083,7.0,128,0,0.0,NA,128,100.0,3.57 (3.23-3.91),NA,6.76
oligodendrocyte progenitor cells 7,4285.0,0.097,8.0,353,52,14.73,2.03 (1.74-2.31),301,85.27,4.33 (4.15-4.51),21.87,5.68
GABA neurons expressing GLU receptors 22,487.0,0.113,11.0,73,4,5.48,1.44 (1.34-1.53),69,94.52,2.84 (2.44-3.24),2.50,7.61
GLU like neurons 17,637.0,0.094,18.0,91,10,10.99,1.13 (0.42-1.84),81,89.01,5.13 (4.69-5.58),3.33,3.03
da like neurons 11,1220.0,0.101,16.0,410,5,1.22,2.24 (1.16-3.32),405,98.78,4.28 (4.09-4.47),8.33,7.51
GABA neurons expressing GABA receptors 13,88.0,0.083,4.0,2,0,0.0,NA,2,100.0,NA,NA,1.67
endothelial cells 9,586.0,0.167,39.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49),NA,4.21
oligodendrocytes 20,279.0,0.059,8.0,16,0,0.0,NA,16,100.0,2.38 (1.63-3.13),NA,3.48
GABA like neurons 14,3052.0,0.161,69.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,603.0,0.088,58.0,89,8,8.99,1.22 (1.03-1.40),81,91.01,2.98 (2.61-3.34),5.55,6.09
oligodendrocyte progenitor cells 12,708.0,0.127,57.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99),1.83,2.57
oligodendrocytes 10,735.0,0.06,20.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14),NA,8.95
connective tissue cells 21,111.0,0.268,45.0,1,0,0.0,NA,1,100.0,0.40 (NA-NA),NA,3.65
astrocytes 15,1401.0,0.104,67.0,96,5,5.21,2.34 (1.47-3.22),91,94.79,3.68 (3.21-4.15),1.80,3.91
oligodendrocytes 16,64.0,0.266,89.0,1,0,0.0,NA,1,100.0,2.12 (NA-NA),NA,1.77
da neurons 6,448.0,0.121,69.0,43,5,11.63,3.90 (3.68-4.13),38,88.37,3.18 (2.58-3.78),3.01,3.53
astrocytes microglia 23,125.0,0.284,28.0,3,0,0.0,NA,3,100.0,NA,NA,1.30
astrocytes 4,787.0,0.129,14.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36),NA,5.75
oligodendrocytes 0,187.0,0.16,46.0,14,1,7.14,NA,13,92.86,5.53 (4.92-6.14),1.74,2.55
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,187.0,0.125,64.0,2,0,0.0,NA,2,100.0,3.78 (NA-NA),NA,2.73
oligodendrocytes 2,528.0,0.188,43.0,175,2,1.14,1.93 (1.64-2.21),173,98.86,4.42 (4.07-4.77),1.76,4.65
