tipo_celular,module_size,LRRC4C_MM,LRRC4C_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,305.0,0.424,90.0,15,7,46.67,6.14 (5.15-7.13),8,53.33,5.18 (4.64-5.73),2.43,2.25
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,222.0,0.338,89.0,98,11,11.22,5.45 (3.24-7.65),87,88.78,4.51 (4.12-4.89),3.87,2.50
oligodendrocyte progenitor cells 7,436.0,0.254,95.0,219,41,18.72,5.49 (4.92-6.05),178,81.28,5.12 (4.78-5.45),8.53,3.71
GABA neurons expressing GLU receptors 22,459.0,0.363,95.0,165,20,12.12,3.44 (2.60-4.28),145,87.88,5.41 (5.07-5.75),5.12,3.95
GLU like neurons 17,489.0,0.289,89.0,42,22,52.38,6.09 (5.43-6.74),20,47.62,5.78 (4.67-6.88),3.25,3.17
da like neurons 11,191.0,0.361,69.0,93,38,40.86,5.49 (4.89-6.09),55,59.14,5.80 (5.26-6.35),5.45,3.23
GABA neurons expressing GABA receptors 13,288.0,0.287,83.0,93,41,44.09,4.82 (4.12-5.52),52,55.91,5.52 (4.84-6.21),5.63,2.62
endothelial cells 9,450.0,0.369,76.0,74,19,25.68,6.06 (5.14-6.98),55,74.32,5.18 (4.50-5.85),5.74,2.91
oligodendrocytes 20,250.0,0.226,65.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62),NA,4.81
GABA like neurons 14,1300.0,0.271,78.0,306,61,19.93,4.47 (3.91-5.04),245,80.07,5.33 (5.04-5.62),14.70,4.72
astrocytes 8,279.0,0.173,13.0,78,12,15.38,3.47 (2.57-4.38),66,84.62,4.50 (4.05-4.95),3.90,2.49
oligodendrocyte progenitor cells 12,411.0,0.609,100.0,103,25,24.27,5.80 (4.99-6.60),78,75.73,5.45 (5.01-5.89),4.56,2.61
oligodendrocytes 10,1277.0,0.263,99.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,418.0,0.414,84.0,54,3,5.56,2.72 (1.32-4.13),51,94.44,3.75 (3.29-4.20),2.67,3.03
oligodendrocytes 16,149.0,0.348,87.0,70,10,14.29,5.79 (4.99-6.59),60,85.71,5.62 (5.05-6.18),3.15,3.34
da neurons 6,398.0,0.226,76.0,138,28,20.29,4.12 (3.36-4.88),110,79.71,5.05 (4.63-5.46),3.04,2.66
astrocytes microglia 23,122.0,0.5,94.0,46,7,15.22,5.89 (5.00-6.79),39,84.78,4.86 (4.23-5.50),1.98,3.43
astrocytes 4,161.0,0.294,87.0,45,3,6.67,5.84 (5.19-6.48),42,93.33,5.22 (4.53-5.91),1.47,3.22
oligodendrocytes 0,479.0,0.205,83.0,40,19,47.5,6.40 (5.50-7.29),21,52.5,5.39 (4.90-5.88),3.58,3.37
microglia 1,127.0,0.13,29.0,24,8,33.33,5.06 (3.76-6.36),16,66.67,5.25 (4.41-6.08),2.75,2.33
oligodendrocytes 3,1003.0,0.218,97.0,111,1,0.9,NA,110,99.1,3.30 (2.96-3.64),1.56,4.26
oligodendrocytes 2,348.0,0.165,35.0,114,34,29.82,5.12 (4.42-5.83),80,70.18,5.11 (4.60-5.61),7.73,2.97
