tipo_celular,module_size,FEZ1_MM,FEZ1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,328.0,0.18,57.0,128,0,0.0,NA,128,100.0,3.57 (3.23-3.91),NA,6.76
oligodendrocyte progenitor cells 7,628.0,0.211,73.0,164,2,1.22,4.61 (4.14-5.08),162,98.78,4.08 (3.74-4.41),1.47,7.60
GABA neurons expressing GLU receptors 22,487.0,0.333,83.0,73,0,0.0,NA,73,100.0,2.75 (2.37-3.14),NA,7.33
GLU like neurons 17,637.0,0.228,71.0,91,21,23.08,2.34 (1.61-3.06),70,76.92,5.54 (5.09-5.99),3.49,2.93
da like neurons 11,1220.0,0.222,63.0,410,11,2.68,4.26 (2.88-5.64),399,97.32,4.25 (4.06-4.43),8.34,7.49
GABA neurons expressing GABA receptors 13,417.0,0.166,54.0,213,13,6.1,1.18 (0.63-1.73),200,93.9,3.98 (3.75-4.21),7.59,9.82
endothelial cells 9,450.0,0.332,72.0,74,20,27.03,5.64 (4.67-6.60),54,72.97,5.39 (4.71-6.07),5.84,2.82
oligodendrocytes 20,938.0,0.456,100.0,169,6,3.55,1.82 (0.82-2.82),163,96.45,3.56 (3.34-3.77),4.31,5.40
GABA like neurons 14,2402.0,0.338,72.0,455,21,4.62,2.86 (1.82-3.89),434,95.38,4.44 (4.26-4.62),23.11,8.14
astrocytes 8,771.0,0.275,77.0,48,7,14.58,6.85 (4.45-9.25),41,85.42,3.99 (3.30-4.68),3.71,3.05
oligodendrocyte progenitor cells 12,708.0,0.231,81.0,25,6,24.0,4.40 (1.71-7.08),19,76.0,2.39 (1.49-3.29),2.21,2.64
oligodendrocytes 10,236.0,0.579,74.0,82,10,12.2,4.51 (3.12-5.89),72,87.8,5.05 (4.49-5.61),3.85,3.83
connective tissue cells 21,250.0,0.416,73.0,117,30,25.64,4.82 (4.00-5.64),87,74.36,5.60 (5.17-6.04),5.60,3.10
astrocytes 15,458.0,0.1,54.0,36,8,22.22,7.57 (6.43-8.71),28,77.78,2.50 (1.75-3.24),1.84,2.78
oligodendrocytes 16,287.0,0.449,90.0,105,32,30.48,4.49 (3.60-5.37),73,69.52,5.44 (5.00-5.89),4.32,3.10
da neurons 6,729.0,0.18,64.0,182,2,1.1,2.87 (2.83-2.90),180,98.9,3.65 (3.39-3.90),4.89,8.56
astrocytes microglia 23,37.0,0.421,81.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,102.0,0.11,5.0,42,1,2.38,5.19 (NA-NA),41,97.62,5.70 (4.96-6.44),2.94,3.17
oligodendrocytes 0,546.0,0.41,98.0,252,13,5.16,1.54 (0.72-2.35),239,94.84,4.28 (4.04-4.52),11.17,8.05
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,127.0,0.517,91.0,45,12,26.67,4.01 (3.18-4.83),33,73.33,4.54 (3.18-5.90),2.16,7.29
oligodendrocytes 2,526.0,0.656,100.0,213,0,0.0,NA,213,100.0,3.98 (3.70-4.25),NA,7.94
