tipo_celular,module_size,CCNL2_MM,CCNL2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,178.0,0.201,38.0,13,0,0.0,NA,13,100.0,1.68 (1.03-2.33),NA,5.07
T cells 18,506.0,0.097,10.0,225,11,4.89,2.92 (1.97-3.86),214,95.11,3.66 (3.40-3.92),6.37,7.98
astrocytes 5,1141.0,0.065,1.0,166,29,17.47,2.11 (1.70-2.52),137,82.53,3.73 (3.47-4.00),6.61,4.11
oligodendrocyte progenitor cells 7,4285.0,0.16,85.0,353,51,14.45,2.05 (1.73-2.37),302,85.55,4.31 (4.14-4.49),23.08,5.53
GABA neurons expressing GLU receptors 22,599.0,0.275,78.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13),1.47,4.07
GLU like neurons 17,1247.0,0.101,26.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,82.0,0.068,2.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.105,32.0,297,6,2.02,3.99 (2.98-5.01),291,97.98,3.67 (3.46-3.87),5.30,5.52
oligodendrocytes 20,348.0,0.292,90.0,33,0,0.0,NA,33,100.0,2.73 (2.25-3.22),NA,3.38
GABA like neurons 14,3052.0,0.101,19.0,125,2,1.6,3.67 (2.70-4.65),123,98.4,3.35 (3.02-3.68),6.95,8.64
astrocytes 8,1266.0,0.066,33.0,66,18,27.27,1.94 (1.34-2.55),48,72.73,3.82 (3.38-4.25),4.08,2.53
oligodendrocyte progenitor cells 12,3303.0,0.073,43.0,276,36,13.04,1.89 (1.66-2.13),240,86.96,3.88 (3.65-4.11),11.68,4.12
oligodendrocytes 10,2107.0,0.051,6.0,358,57,15.92,2.05 (1.75-2.35),301,84.08,4.36 (4.18-4.54),26.19,6.31
connective tissue cells 21,104.0,0.285,47.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,367.0,0.099,22.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04),NA,3.30
oligodendrocytes 16,94.0,0.199,42.0,5,1,20.0,3.65 (NA-NA),4,80.0,2.64 (1.13-4.14),1.76,1.89
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,131.0,0.293,37.0,5,0,0.0,NA,5,100.0,0.46 (0.38-0.54),NA,2.65
astrocytes 4,721.0,0.174,87.0,61,3,4.92,2.16 (1.33-2.98),58,95.08,3.01 (2.58-3.44),2.72,6.19
oligodendrocytes 0,2078.0,0.109,39.0,238,12,5.04,2.26 (1.82-2.70),226,94.96,3.72 (3.50-3.95),8.82,4.82
microglia 1,1615.0,0.078,8.0,161,44,27.33,1.85 (1.57-2.14),117,72.67,3.98 (3.71-4.26),10.64,3.47
oligodendrocytes 3,357.0,0.078,35.0,127,2,1.57,2.91 (2.74-3.08),125,98.43,3.12 (2.79-3.46),8.49,4.17
oligodendrocytes 2,921.0,0.142,60.0,200,5,2.5,3.08 (1.91-4.24),195,97.5,3.64 (3.37-3.91),6.29,3.39
